Байршил,Орлогын төрөл,Он,value
  Хот,2. Бусдаас үнэгүй авсан,2010,16032.0
  Хот,2. Бусдаас үнэгүй авсан,2009,11258.0
  Хот,2. Бусдаас үнэгүй авсан,2008,9931.0
  Хот,2. Бусдаас үнэгүй авсан,2007,7808.0
  Хот,2. Бусдаас үнэгүй авсан,2006,4623.0
  Хот,2. Бусдаас үнэгүй авсан,2005,7863.0
  Хот,2. Бусдаас үнэгүй авсан,2004,7864.0
  Хот,2. Бусдаас үнэгүй авсан,2003,10052.0
  Хот,2. Бусдаас үнэгүй авсан,2002,7999.0
  Хот,2. Бусдаас үнэгүй авсан,2001,2617.0
  Хот,2. Бусдаас үнэгүй авсан,2000,1379.0
  Хот,2. Бусдаас үнэгүй авсан,1999,
  Хот,2. Бусдаас үнэгүй авсан,1998,
  Хот,2. Бусдаас үнэгүй авсан,1997,
  Хот,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2024,11018.0
  Хот,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2023,12882.0
  Хот,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2022,12637.0
  Хот,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2021,9813.0
  Хот,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2020,8272.0
  Хот,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2019,8232.0
