Малын төрөл,Бүс,Он,value
Бүгд,              Увс,2012,2030.7
Бүгд,              Увс,2011,1831.8
Бүгд,              Увс,2010,1619.3
Бүгд,              Увс,2009,2319.1
Бүгд,              Увс,2008,2499.3
Бүгд,              Увс,2007,2653.5
Бүгд,              Увс,2006,2400.9
Бүгд,              Увс,2005,2021.3
Бүгд,              Увс,2004,1948.3
Бүгд,              Увс,2003,1664.4
Бүгд,              Увс,2002,1470.4
Бүгд,              Увс,2001,1575.6
Бүгд,              Увс,2000,1579.3
Бүгд,              Увс,1999,1889.8
Бүгд,              Увс,1998,1940.1
Бүгд,              Увс,1997,1856.3
Бүгд,              Увс,1996,1764.9
Бүгд,              Увс,1995,1754.2
Бүгд,              Увс,1994,1707.9
Бүгд,              Увс,1993,1628.5
Бүгд,              Увс,1992,1596.6
Бүгд,              Увс,1991,1585.3
Бүгд,              Увс,1990,1666.7
Бүгд,              Увс,1989,1614.1
Бүгд,              Увс,1988,1561.6
Бүгд,              Увс,1987,1515.7
Бүгд,              Увс,1986,1488.8
Бүгд,              Увс,1985,1470.1
Бүгд,              Увс,1984,1420.8
Бүгд,              Увс,1983,1417.9
Бүгд,              Увс,1982,1494.8
Бүгд,              Увс,1981,1445.1
Бүгд,              Увс,1980,1481.3
Бүгд,              Увс,1979,1486.8
Бүгд,              Увс,1978,1427.5
Бүгд,              Увс,1977,1394.4
Бүгд,              Увс,1976,1415.7
Бүгд,              Увс,1975,1610.0
Бүгд,              Увс,1974,1714.6
Бүгд,              Увс,1973,1737.8
Бүгд,              Увс,1972,1697.7
Бүгд,              Увс,1971,1711.7
Бүгд,              Увс,1970,1679.8
Бүгд,              Ховд,2024,3491.1
Бүгд,              Ховд,2023,3194.9
Бүгд,              Ховд,2022,3472.9
Бүгд,              Ховд,2021,3597.0
Бүгд,              Ховд,2020,3292.6
Бүгд,              Ховд,2019,3084.3
Бүгд,              Ховд,2018,3146.4
Бүгд,              Ховд,2017,3446.6
Бүгд,              Ховд,2016,3280.6
Бүгд,              Ховд,2015,2905.4
Бүгд,              Ховд,2014,2625.6
Бүгд,              Ховд,2013,2241.3
Бүгд,              Ховд,2012,2038.5
Бүгд,              Ховд,2011,1771.3
Бүгд,              Ховд,2010,1639.1
Бүгд,              Ховд,2009,2268.4
Бүгд,              Ховд,2008,2486.7
Бүгд,              Ховд,2007,2564.4
Бүгд,              Ховд,2006,2293.8
Бүгд,              Ховд,2005,1963.7
Бүгд,              Ховд,2004,1788.5
Бүгд,              Ховд,2003,1541.0
Бүгд,              Ховд,2002,1323.9
Бүгд,              Ховд,2001,1512.4
Бүгд,              Ховд,2000,1836.3
Бүгд,              Ховд,1999,1867.9
Бүгд,              Ховд,1998,1795.9
Бүгд,              Ховд,1997,1926.5
Бүгд,              Ховд,1996,1954.9
Бүгд,              Ховд,1995,2070.6
Бүгд,              Ховд,1994,1905.0
Бүгд,              Ховд,1993,1823.0
Бүгд,              Ховд,1992,1688.6
Бүгд,              Ховд,1991,1636.6
Бүгд,              Ховд,1990,1687.7
Бүгд,              Ховд,1989,1637.7
Бүгд,              Ховд,1988,1608.1
Бүгд,              Ховд,1987,1554.2
Бүгд,              Ховд,1986,1501.7
Бүгд,              Ховд,1985,1488.6
Бүгд,              Ховд,1984,1351.7
Бүгд,              Ховд,1983,1499.0
Бүгд,              Ховд,1982,1577.3
Бүгд,              Ховд,1981,1641.3
Бүгд,              Ховд,1980,1539.6
Бүгд,              Ховд,1979,1559.2
Бүгд,              Ховд,1978,1543.9
Бүгд,              Ховд,1977,1472.8
Бүгд,              Ховд,1976,1601.4
Бүгд,              Ховд,1975,1592.9
Бүгд,              Ховд,1974,1652.0
Бүгд,              Ховд,1973,1675.9
Бүгд,              Ховд,1972,1578.4
Бүгд,              Ховд,1971,1556.1
Бүгд,              Ховд,1970,1463.7
Бүгд,       Хойд бүс,2024,8377.8
Бүгд,       Хойд бүс,2023,9460.2
Бүгд,       Хойд бүс,2022,10316.9
Бүгд,       Хойд бүс,2021,9720.1
Бүгд,       Хойд бүс,2020,9033.5
Бүгд,       Хойд бүс,2019,9809.1
Бүгд,       Хойд бүс,2018,9130.2
Бүгд,       Хойд бүс,2017,8781.8
Бүгд,       Хойд бүс,2016,8709.2
Бүгд,       Хойд бүс,2015,7741.6
Бүгд,       Хойд бүс,2014,7413.2
Бүгд,       Хойд бүс,2013,6545.3
Бүгд,       Хойд бүс,2012,6364.8
Бүгд,       Хойд бүс,2011,5824.7
Бүгд,       Хойд бүс,2010,5563.8
Бүгд,       Хойд бүс,2009,6792.3
Бүгд,       Хойд бүс,2008,6498.7
Бүгд,       Хойд бүс,2007,5643.5
Бүгд,       Хойд бүс,2006,4820.4
