date,session,scheduled_start,actual_start,timing_status,data_status,source_article_url,source_attachment_url,metric,value,unit
2024-12-05,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63551/,,Foreign official assignments,9,count
2024-12-05,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63551/,,Unexplained absences,4,count
2024-12-05,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63551/,,Physically attended,106,count
2024-12-05,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63551/,,Physical attendance rate,84.1,percent
2024-12-05,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63551/,,Official on-time rate among appearances,81.1,percent
2024-12-06,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63569/,,Agenda items,3,count
2024-12-06,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63569/,,Sitting start delay,,minutes
2024-12-06,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63569/,,Officially on time,62,count
2024-12-06,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63569/,,Officially late,40,count
2024-12-06,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63569/,,General leave,2,count
2024-12-06,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63569/,,Medical leave,7,count
2024-12-06,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63569/,,Domestic official assignments,0,count
2024-12-06,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63569/,,Foreign official assignments,10,count
2024-12-06,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63569/,,Unexplained absences,5,count
2024-12-06,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63569/,,Physically attended,102,count
2024-12-06,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63569/,,Physical attendance rate,81.0,percent
2024-12-06,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63569/,,Official on-time rate among appearances,60.8,percent
2024-12-11,Autumn regular session,15:00,15:05,Complete,Final,https://www.parliament.mn/nn/63609/,,Agenda items,3,count
2024-12-11,Autumn regular session,15:00,15:05,Complete,Final,https://www.parliament.mn/nn/63609/,,Sitting start delay,5,minutes
2024-12-11,Autumn regular session,15:00,15:05,Complete,Final,https://www.parliament.mn/nn/63609/,,Officially on time,82,count
2024-12-11,Autumn regular session,15:00,15:05,Complete,Final,https://www.parliament.mn/nn/63609/,,Officially late,33,count
2024-12-11,Autumn regular session,15:00,15:05,Complete,Final,https://www.parliament.mn/nn/63609/,,General leave,1,count
2024-12-11,Autumn regular session,15:00,15:05,Complete,Final,https://www.parliament.mn/nn/63609/,,Medical leave,5,count
2024-12-11,Autumn regular session,15:00,15:05,Complete,Final,https://www.parliament.mn/nn/63609/,,Domestic official assignments,0,count
2024-12-11,Autumn regular session,15:00,15:05,Complete,Final,https://www.parliament.mn/nn/63609/,,Foreign official assignments,2,count
2024-12-11,Autumn regular session,15:00,15:05,Complete,Final,https://www.parliament.mn/nn/63609/,,Unexplained absences,3,count
2024-12-11,Autumn regular session,15:00,15:05,Complete,Final,https://www.parliament.mn/nn/63609/,,Physically attended,115,count
2024-12-11,Autumn regular session,15:00,15:05,Complete,Final,https://www.parliament.mn/nn/63609/,,Physical attendance rate,91.3,percent
2024-12-11,Autumn regular session,15:00,15:05,Complete,Final,https://www.parliament.mn/nn/63609/,,Official on-time rate among appearances,71.3,percent
2024-12-12,Autumn regular session,10:00,10:28,Complete,Final,https://www.parliament.mn/nn/63621/,,Agenda items,3,count
2024-12-12,Autumn regular session,10:00,10:28,Complete,Final,https://www.parliament.mn/nn/63621/,,Sitting start delay,28,minutes
2024-12-12,Autumn regular session,10:00,10:28,Complete,Final,https://www.parliament.mn/nn/63621/,,Officially on time,85,count
2024-12-12,Autumn regular session,10:00,10:28,Complete,Final,https://www.parliament.mn/nn/63621/,,Officially late,25,count
2024-12-12,Autumn regular session,10:00,10:28,Complete,Final,https://www.parliament.mn/nn/63621/,,General leave,1,count
2024-12-12,Autumn regular session,10:00,10:28,Complete,Final,https://www.parliament.mn/nn/63621/,,Medical leave,6,count
2024-12-12,Autumn regular session,10:00,10:28,Complete,Final,https://www.parliament.mn/nn/63621/,,Domestic official assignments,0,count
2024-12-12,Autumn regular session,10:00,10:28,Complete,Final,https://www.parliament.mn/nn/63621/,,Foreign official assignments,2,count
