Бүс,Үзүүлэлт,Он,value
    Баруун бүс,ДОХ/БЗДХ-ын/,2021,0.0
    Баруун бүс,ДОХ/БЗДХ-ын/,2020,0.0
    Баруун бүс,ДОХ/БЗДХ-ын/,2019,0.0
    Баруун бүс,ДОХ/БЗДХ-ын/,2018,8.0
    Баруун бүс,ДОХ/БЗДХ-ын/,2017,8.0
    Баруун бүс,ДОХ/БЗДХ-ын/,2016,8.0
    Баруун бүс,ДОХ/БЗДХ-ын/,2015,5.0
    Баруун бүс,Сэргээн засахын,2025,60.0
    Баруун бүс,Сэргээн засахын,2024,58.0
    Баруун бүс,Сэргээн засахын,2023,50.0
    Баруун бүс,Сэргээн засахын,2022,39.0
    Баруун бүс,Сэргээн засахын,2021,28.0
    Баруун бүс,Сэргээн засахын,2020,32.0
    Баруун бүс,Сэргээн засахын,2019,26.0
    Баруун бүс,Сэргээн засахын,2018,28.0
    Баруун бүс,Сэргээн засахын,2017,20.0
    Баруун бүс,Сэргээн засахын,2016,24.0
    Баруун бүс,Сэргээн засахын,2015,20.0
    Баруун бүс,Хөнгөвчлөхийн,2025,31.0
    Баруун бүс,Хөнгөвчлөхийн,2024,21.0
    Баруун бүс,Хөнгөвчлөхийн,2023,23.0
    Баруун бүс,Хөнгөвчлөхийн,2022,19.0
    Баруун бүс,Хөнгөвчлөхийн,2021,14.0
    Баруун бүс,Хөнгөвчлөхийн,2020,19.0
