type_of_livestock,region,year,value
Cattle,Total,1971,2176.12
Cattle,Total,1970,2107.83
Cattle,Khangai region,2025,1396.71
Cattle,Khangai region,2024,1253.82
Cattle,Khangai region,2023,1291.52
Cattle,Khangai region,2022,1315.14
Cattle,Khangai region,2021,1159.8
Cattle,Khangai region,2020,1176.56
Cattle,Khangai region,2019,1260.11
Cattle,Khangai region,2018,1133.34
Cattle,Khangai region,2017,1167.37
Cattle,Khangai region,2016,1054.97
Cattle,Khangai region,2015,950.86
Cattle,Khangai region,2014,856.6
Cattle,Khangai region,2013,717.81
Cattle,Khangai region,2012,612.89
Cattle,Khangai region,2011,537.36
Cattle,Khangai region,2010,479.64
Cattle,Khangai region,2009,654.16
Cattle,Khangai region,2008,609.96
Cattle,Khangai region,2007,568.19
Cattle,Khangai region,2006,501.33
Cattle,Khangai region,2005,449.59
Cattle,Khangai region,2004,413.53
Cattle,Khangai region,2003,399.18
Cattle,Khangai region,2002,411.3
Cattle,Khangai region,2001,485.58
Cattle,Khangai region,2000,761.51
Cattle,Khangai region,1999,958.37
Cattle,Khangai region,1998,907.36
Cattle,Khangai region,1997,867.14
Cattle,Khangai region,1996,819.1
Cattle,Khangai region,1995,776.57
Cattle,Khangai region,1994,696.17
Cattle,Khangai region,1993,614.87
Cattle,Khangai region,1992,613.69
Cattle,Khangai region,1991,618.24
Cattle,Khangai region,1990,623.61
Cattle,Khangai region,1989,578.69
Cattle,Khangai region,1988,549.13
Cattle,Khangai region,1987,555.0
Cattle,Khangai region,1986,543.47
Cattle,Khangai region,1985,528.52
Cattle,Khangai region,1984,543.69
Cattle,Khangai region,1983,556.41
Cattle,Khangai region,1982,575.88
Cattle,Khangai region,1981,565.31
Cattle,Khangai region,1980,582.79
Cattle,Khangai region,1979,606.97
Cattle,Khangai region,1978,608.17
Cattle,Khangai region,1977,585.82
Cattle,Khangai region,1976,574.98
Cattle,Khangai region,1975,563.46
Cattle,Khangai region,1974,541.32
Cattle,Khangai region,1973,528.56
Cattle,Khangai region,1972,526.03
Cattle,Khangai region,1971,526.34
Cattle,Khangai region,1970,521.37
Cattle,Arkhangai,2025,745.15
Cattle,Arkhangai,2024,664.96
Cattle,Arkhangai,2023,740.95
Cattle,Arkhangai,2022,814.55
Cattle,Arkhangai,2021,722.17
Cattle,Arkhangai,2020,678.99
Cattle,Arkhangai,2019,710.08
Cattle,Arkhangai,2018,621.25
Cattle,Arkhangai,2017,628.78
Cattle,Arkhangai,2016,581.23
Cattle,Arkhangai,2015,544.24
Cattle,Arkhangai,2014,502.57
Cattle,Arkhangai,2013,427.15
Cattle,Arkhangai,2012,371.07
Cattle,Arkhangai,2011,335.93
Cattle,Arkhangai,2010,301.95
Cattle,Arkhangai,2009,385.9
Cattle,Arkhangai,2008,352.77
Cattle,Arkhangai,2007,316.32
Cattle,Arkhangai,2006,281.35
Cattle,Arkhangai,2005,253.19
Cattle,Arkhangai,2004,231.67
Cattle,Arkhangai,2003,230.85
Cattle,Arkhangai,2002,253.43
Cattle,Arkhangai,2001,277.34
Cattle,Arkhangai,2000,428.61
Cattle,Arkhangai,1999,463.99
Cattle,Arkhangai,1998,428.06
Cattle,Arkhangai,1997,403.19
Cattle,Arkhangai,1996,369.36
Cattle,Arkhangai,1995,336.11
Cattle,Arkhangai,1994,315.41
Cattle,Arkhangai,1993,284.13
Cattle,Arkhangai,1992,283.04
Cattle,Arkhangai,1991,289.54
Cattle,Arkhangai,1990,294.89
Cattle,Arkhangai,1989,272.79
Cattle,Arkhangai,1988,259.52
Cattle,Arkhangai,1987,259.06
Cattle,Arkhangai,1986,257.04
Cattle,Arkhangai,1985,249.54
Cattle,Arkhangai,1984,253.81
Cattle,Arkhangai,1983,253.98
Cattle,Arkhangai,1982,256.17
Cattle,Arkhangai,1981,249.43
Cattle,Arkhangai,1980,247.67
Cattle,Arkhangai,1979,254.83
Cattle,Arkhangai,1978,254.08
Cattle,Arkhangai,1977,241.53
Cattle,Arkhangai,1976,247.46
Cattle,Arkhangai,1975,248.51
Cattle,Arkhangai,1974,241.72
Cattle,Arkhangai,1973,232.35
Cattle,Arkhangai,1972,231.36
Cattle,Arkhangai,1971,235.04
Cattle,Arkhangai,1970,233.87
Cattle,Bayankhongor,2025,239.37
Cattle,Bayankhongor,2024,221.48
Cattle,Bayankhongor,2023,238.2
Cattle,Bayankhongor,2022,222.96
Cattle,Bayankhongor,2021,197.92
Cattle,Bayankhongor,2020,245.75
Cattle,Bayankhongor,2019,257.62
Cattle,Bayankhongor,2018,239.78
Cattle,Bayankhongor,2017,240.34
Cattle,Bayankhongor,2016,213.81
Cattle,Bayankhongor,2015,189.02
Cattle,Bayankhongor,2014,170.77
Cattle,Bayankhongor,2013,145.73
Cattle,Bayankhongor,2012,127.86
Cattle,Bayankhongor,2011,110.86
Cattle,Bayankhongor,2010,101.46
Cattle,Bayankhongor,2009,127.21
Cattle,Bayankhongor,2008,122.43
Cattle,Bayankhongor,2007,118.4
Cattle,Bayankhongor,2006,108.87
Cattle,Bayankhongor,2005,96.72
Cattle,Bayankhongor,2004,90.64
Cattle,Bayankhongor,2003,85.33
Cattle,Bayankhongor,2002,82.61
Cattle,Bayankhongor,2001,108.96
Cattle,Bayankhongor,2000,158.08
Cattle,Bayankhongor,1999,198.42
Cattle,Bayankhongor,1998,196.9
Cattle,Bayankhongor,1997,192.11
Cattle,Bayankhongor,1996,181.53
Cattle,Bayankhongor,1995,169.8
Cattle,Bayankhongor,1994,144.98
Cattle,Bayankhongor,1993,125.08
Cattle,Bayankhongor,1992,132.8
Cattle,Bayankhongor,1991,130.46
Cattle,Bayankhongor,1990,128.19
Cattle,Bayankhongor,1989,118.89
Cattle,Bayankhongor,1988,112.27
Cattle,Bayankhongor,1987,117.73
Cattle,Bayankhongor,1986,112.35
Cattle,Bayankhongor,1985,111.06
Cattle,Bayankhongor,1984,121.92
Cattle,Bayankhongor,1983,134.07
Cattle,Bayankhongor,1982,139.06
Cattle,Bayankhongor,1981,135.17
Cattle,Bayankhongor,1980,136.08
Cattle,Bayankhongor,1979,138.09
Cattle,Bayankhongor,1978,140.79
Cattle,Bayankhongor,1977,139.26
Cattle,Bayankhongor,1976,131.54
Cattle,Bayankhongor,1975,129.61
Cattle,Bayankhongor,1974,125.08
Cattle,Bayankhongor,1973,126.47
Cattle,Bayankhongor,1972,124.68
Cattle,Bayankhongor,1971,123.8
Cattle,Bayankhongor,1970,119.76
Cattle,Uvurkhangai,2025,412.2
Cattle,Uvurkhangai,2024,367.38
Cattle,Uvurkhangai,2023,312.36
Cattle,Uvurkhangai,2022,277.64
Cattle,Uvurkhangai,2021,239.71
Cattle,Uvurkhangai,2020,251.82
Cattle,Uvurkhangai,2019,292.41
Cattle,Uvurkhangai,2018,272.32
Cattle,Uvurkhangai,2017,298.24
Cattle,Uvurkhangai,2016,259.94
Cattle,Uvurkhangai,2015,217.6
Cattle,Uvurkhangai,2014,183.26
Cattle,Uvurkhangai,2013,144.93
Cattle,Uvurkhangai,2012,113.97
Cattle,Uvurkhangai,2011,90.57
Cattle,Uvurkhangai,2010,76.23
Cattle,Uvurkhangai,2009,141.05
Cattle,Uvurkhangai,2008,134.76
Cattle,Uvurkhangai,2007,133.47
Cattle,Uvurkhangai,2006,111.11
Cattle,Uvurkhangai,2005,99.68
Cattle,Uvurkhangai,2004,91.22
Cattle,Uvurkhangai,2003,83.0
Cattle,Uvurkhangai,2002,75.26
Cattle,Uvurkhangai,2001,99.28
Cattle,Uvurkhangai,2000,174.82
Cattle,Uvurkhangai,1999,295.96
Cattle,Uvurkhangai,1998,282.4
Cattle,Uvurkhangai,1997,271.84
Cattle,Uvurkhangai,1996,268.21
Cattle,Uvurkhangai,1995,270.66
Cattle,Uvurkhangai,1994,235.78
Cattle,Uvurkhangai,1993,205.66
Cattle,Uvurkhangai,1992,197.85
Cattle,Uvurkhangai,1991,198.24
Cattle,Uvurkhangai,1990,200.53
Cattle,Uvurkhangai,1989,187.01
Cattle,Uvurkhangai,1988,177.34
Cattle,Uvurkhangai,1987,178.21
Cattle,Uvurkhangai,1986,174.08
Cattle,Uvurkhangai,1985,167.92
Cattle,Uvurkhangai,1984,167.96
Cattle,Uvurkhangai,1983,168.36
Cattle,Uvurkhangai,1982,180.65
Cattle,Uvurkhangai,1981,180.71
Cattle,Uvurkhangai,1980,199.04
Cattle,Uvurkhangai,1979,214.05
Cattle,Uvurkhangai,1978,213.3
Cattle,Uvurkhangai,1977,205.03
Cattle,Uvurkhangai,1976,195.98
Cattle,Uvurkhangai,1975,185.34
Cattle,Uvurkhangai,1974,174.52
Cattle,Uvurkhangai,1973,169.74
Cattle,Uvurkhangai,1972,169.99
Cattle,Uvurkhangai,1971,167.5
Cattle,Uvurkhangai,1970,167.74
Cattle,Western region,2025,935.1
Cattle,Western region,2024,935.1
Cattle,Western region,2023,907.6
Cattle,Western region,2022,987.62
Cattle,Western region,2021,949.98
Cattle,Western region,2020,858.96
Cattle,Western region,2019,854.56
Cattle,Western region,2018,822.74
Cattle,Western region,2017,815.96
Cattle,Western region,2016,742.22
Cattle,Western region,2015,675.36
Cattle,Western region,2014,599.28
Cattle,Western region,2013,497.47
Cattle,Western region,2012,423.84
Cattle,Western region,2011,369.36
Cattle,Western region,2010,323.49
Cattle,Western region,2009,446.38
Cattle,Western region,2008,501.38
Cattle,Western region,2007,529.66
Cattle,Western region,2006,478.76
Cattle,Western region,2005,421.8
Cattle,Western region,2004,391.0
Cattle,Western region,2003,357.74
Cattle,Western region,2002,339.54
Cattle,Western region,2001,398.27
Cattle,Western region,2000,557.36
Cattle,Western region,1999,783.51
Cattle,Western region,1998,812.4
Cattle,Western region,1997,856.39
Cattle,Western region,1996,863.85
Cattle,Western region,1995,834.05
Cattle,Western region,1994,730.27
Cattle,Western region,1993,624.57
Cattle,Western region,1992,636.32
Cattle,Western region,1991,656.06
Cattle,Western region,1990,692.36
Cattle,Western region,1989,662.93
Cattle,Western region,1988,635.72
Cattle,Western region,1987,617.94
Cattle,Western region,1986,586.21
Cattle,Western region,1985,563.96
Cattle,Western region,1984,524.11
Cattle,Western region,1983,530.57
Cattle,Western region,1982,536.81
Cattle,Western region,1981,546.91
Cattle,Western region,1980,546.71
Cattle,Western region,1979,536.74
Cattle,Western region,1978,533.81
Cattle,Western region,1977,529.12
Cattle,Western region,1976,546.18
Cattle,Western region,1975,557.23
Cattle,Western region,1974,579.96
Cattle,Western region,1973,563.37
Cattle,Western region,1972,549.06
Cattle,Western region,1971,544.17
Cattle,Western region,1970,497.3
Cattle,Bayan-Ulgii,2025,179.37
Cattle,Bayan-Ulgii,2024,183.89
Cattle,Bayan-Ulgii,2023,175.53
Cattle,Bayan-Ulgii,2022,186.31
Cattle,Bayan-Ulgii,2021,181.95
Cattle,Bayan-Ulgii,2020,159.49
Cattle,Bayan-Ulgii,2019,158.58
Cattle,Bayan-Ulgii,2018,155.91
Cattle,Bayan-Ulgii,2017,161.03
Cattle,Bayan-Ulgii,2016,155.62
Cattle,Bayan-Ulgii,2015,144.76
Cattle,Bayan-Ulgii,2014,127.44
Cattle,Bayan-Ulgii,2013,105.08
Cattle,Bayan-Ulgii,2012,87.2
Cattle,Bayan-Ulgii,2011,80.82
Cattle,Bayan-Ulgii,2010,66.05
Cattle,Bayan-Ulgii,2009,70.7
Cattle,Bayan-Ulgii,2008,82.2
Cattle,Bayan-Ulgii,2007,94.84
Cattle,Bayan-Ulgii,2006,88.8
Cattle,Bayan-Ulgii,2005,80.53
Cattle,Bayan-Ulgii,2004,86.03
Cattle,Bayan-Ulgii,2003,87.5
Cattle,Bayan-Ulgii,2002,84.29
Cattle,Bayan-Ulgii,2001,85.58
Cattle,Bayan-Ulgii,2000,96.28
Cattle,Bayan-Ulgii,1999,113.98
Cattle,Bayan-Ulgii,1998,115.08
Cattle,Bayan-Ulgii,1997,133.33
Cattle,Bayan-Ulgii,1996,128.59
Cattle,Bayan-Ulgii,1995,119.4
Cattle,Bayan-Ulgii,1994,99.08
Cattle,Bayan-Ulgii,1993,82.12
Cattle,Bayan-Ulgii,1992,85.89
Cattle,Bayan-Ulgii,1991,96.01
Cattle,Bayan-Ulgii,1990,117.66
Cattle,Bayan-Ulgii,1989,111.62
Cattle,Bayan-Ulgii,1988,109.89
Cattle,Bayan-Ulgii,1987,109.05
Cattle,Bayan-Ulgii,1986,106.37
Cattle,Bayan-Ulgii,1985,103.99
Cattle,Bayan-Ulgii,1984,95.0
Cattle,Bayan-Ulgii,1983,91.02
Cattle,Bayan-Ulgii,1982,91.54
Cattle,Bayan-Ulgii,1981,87.7
Cattle,Bayan-Ulgii,1980,82.62
Cattle,Bayan-Ulgii,1979,76.57
Cattle,Bayan-Ulgii,1978,73.93
Cattle,Bayan-Ulgii,1977,73.45
Cattle,Bayan-Ulgii,1976,79.25
Cattle,Bayan-Ulgii,1975,82.53
Cattle,Bayan-Ulgii,1974,94.68
Cattle,Bayan-Ulgii,1973,89.17
Cattle,Bayan-Ulgii,1972,84.2
Cattle,Bayan-Ulgii,1971,85.12
Cattle,Bayan-Ulgii,1970,76.39
Cattle,Govi-Altai,2025,86.85
Cattle,Govi-Altai,2024,81.85
Cattle,Govi-Altai,2023,74.62
Cattle,Govi-Altai,2022,74.81
Cattle,Govi-Altai,2021,69.58
Cattle,Govi-Altai,2020,75.86
Cattle,Govi-Altai,2019,84.48
Cattle,Govi-Altai,2018,85.23
Cattle,Govi-Altai,2017,85.4
Cattle,Govi-Altai,2016,71.06
Cattle,Govi-Altai,2015,58.82
Cattle,Govi-Altai,2014,49.35
Cattle,Govi-Altai,2013,39.44
Cattle,Govi-Altai,2012,29.52
Cattle,Govi-Altai,2011,22.06
Cattle,Govi-Altai,2010,18.35
Cattle,Govi-Altai,2009,36.33
Cattle,Govi-Altai,2008,41.97
Cattle,Govi-Altai,2007,42.42
Cattle,Govi-Altai,2006,37.54
Cattle,Govi-Altai,2005,30.61
Cattle,Govi-Altai,2004,24.81
Cattle,Govi-Altai,2003,19.87
Cattle,Govi-Altai,2002,16.54
Cattle,Govi-Altai,2001,39.88
Cattle,Govi-Altai,2000,60.02
Cattle,Govi-Altai,1999,79.15
Cattle,Govi-Altai,1998,85.18
Cattle,Govi-Altai,1997,87.38
Cattle,Govi-Altai,1996,95.9
Cattle,Govi-Altai,1995,95.2
Cattle,Govi-Altai,1994,81.85
Cattle,Govi-Altai,1993,68.39
Cattle,Govi-Altai,1992,76.41
Cattle,Govi-Altai,1991,79.28
Cattle,Govi-Altai,1990,79.67
Cattle,Govi-Altai,1989,81.37
Cattle,Govi-Altai,1988,77.2
Cattle,Govi-Altai,1987,75.11
Cattle,Govi-Altai,1986,71.15
Cattle,Govi-Altai,1985,70.42
Cattle,Govi-Altai,1984,67.07
Cattle,Govi-Altai,1983,83.07
Cattle,Govi-Altai,1982,89.77
Cattle,Govi-Altai,1981,96.71
Cattle,Govi-Altai,1980,99.4
Cattle,Govi-Altai,1979,96.34
Cattle,Govi-Altai,1978,98.97
Cattle,Govi-Altai,1977,95.27
Cattle,Govi-Altai,1976,92.48
Cattle,Govi-Altai,1975,88.3
Cattle,Govi-Altai,1974,87.84
Cattle,Govi-Altai,1973,84.11
Cattle,Govi-Altai,1972,80.86
Cattle,Govi-Altai,1971,74.25
Cattle,Govi-Altai,1970,66.56
Cattle,Zavkhan,2025,236.11
Cattle,Zavkhan,2024,220.28
Cattle,Zavkhan,2023,236.41
Cattle,Zavkhan,2022,265.48
Cattle,Zavkhan,2021,245.17
Cattle,Zavkhan,2020,225.0
Cattle,Zavkhan,2019,228.7
Cattle,Zavkhan,2018,205.0
Cattle,Zavkhan,2017,192.16
Cattle,Zavkhan,2016,172.36
Cattle,Zavkhan,2015,158.86
Cattle,Zavkhan,2014,138.89
Cattle,Zavkhan,2013,115.28
Cattle,Zavkhan,2012,98.35
Cattle,Zavkhan,2011,83.27
Cattle,Zavkhan,2010,73.7
Cattle,Zavkhan,2009,137.42
Cattle,Zavkhan,2008,149.76
Cattle,Zavkhan,2007,146.95
Cattle,Zavkhan,2006,127.23
Cattle,Zavkhan,2005,107.15
Cattle,Zavkhan,2004,96.25
Cattle,Zavkhan,2003,87.38
Cattle,Zavkhan,2002,83.15
Cattle,Zavkhan,2001,88.8
Cattle,Zavkhan,2000,158.02
Cattle,Zavkhan,1999,271.42
Cattle,Zavkhan,1998,281.88
Cattle,Zavkhan,1997,283.82
Cattle,Zavkhan,1996,275.35
Cattle,Zavkhan,1995,258.2
Cattle,Zavkhan,1994,226.25
Cattle,Zavkhan,1993,189.51
Cattle,Zavkhan,1992,194.23
Cattle,Zavkhan,1991,195.45
Cattle,Zavkhan,1990,195.8
Cattle,Zavkhan,1989,179.63
Cattle,Zavkhan,1988,167.44
Cattle,Zavkhan,1987,165.75
Cattle,Zavkhan,1986,157.24
Cattle,Zavkhan,1985,152.16
Cattle,Zavkhan,1984,145.46
Cattle,Zavkhan,1983,138.71
Cattle,Zavkhan,1982,135.76
Cattle,Zavkhan,1981,141.24
Cattle,Zavkhan,1980,146.95
Cattle,Zavkhan,1979,147.79
Cattle,Zavkhan,1978,146.81
Cattle,Zavkhan,1977,145.96
Cattle,Zavkhan,1976,153.7
Cattle,Zavkhan,1975,154.43
Cattle,Zavkhan,1974,153.97
Cattle,Zavkhan,1973,151.12
Cattle,Zavkhan,1972,150.35
Cattle,Zavkhan,1971,150.91
Cattle,Zavkhan,1970,138.9
Cattle,Uvs,2025,225.88
Cattle,Uvs,2024,229.89
Cattle,Uvs,2023,224.84
Cattle,Uvs,2022,255.79
Cattle,Uvs,2021,245.66
Cattle,Uvs,2020,211.5
Cattle,Uvs,2019,195.71
Cattle,Uvs,2018,182.92
Cattle,Uvs,2017,176.87
Cattle,Uvs,2016,161.05
Cattle,Uvs,2015,156.82
Cattle,Uvs,2014,145.44
Cattle,Uvs,2013,122.61
Cattle,Uvs,2012,108.04
Cattle,Uvs,2011,95.66
Cattle,Uvs,2010,84.38
Cattle,Uvs,2009,104.01
Cattle,Uvs,2008,118.15
Cattle,Uvs,2007,130.24
Cattle,Uvs,2006,119.97
Cattle,Uvs,2005,108.89
Cattle,Uvs,2004,100.34
Cattle,Uvs,2003,89.31
Cattle,Uvs,2002,83.14
Cattle,Uvs,2001,90.44
Cattle,Uvs,2000,105.74
Cattle,Uvs,1999,167.97
Cattle,Uvs,1998,184.27
Cattle,Uvs,1997,182.59
Cattle,Uvs,1996,184.18
Cattle,Uvs,1995,181.9
Cattle,Uvs,1994,165.1
Cattle,Uvs,1993,146.96
Cattle,Uvs,1992,148.44
Cattle,Uvs,1991,154.13
Cattle,Uvs,1990,162.29
Cattle,Uvs,1989,156.37
Cattle,Uvs,1988,150.56
Cattle,Uvs,1987,144.85
Cattle,Uvs,1986,135.74
Cattle,Uvs,1985,128.44
Cattle,Uvs,1984,121.08
Cattle,Uvs,1983,116.54
Cattle,Uvs,1982,113.68
Cattle,Uvs,1981,111.48
Cattle,Uvs,1980,113.62
Cattle,Uvs,1979,112.0
Cattle,Uvs,1978,110.46
Cattle,Uvs,1977,109.19
Cattle,Uvs,1976,106.54
Cattle,Uvs,1975,117.97
Cattle,Uvs,1974,126.29
Cattle,Uvs,1973,124.0
Cattle,Uvs,1972,123.02
Cattle,Uvs,1971,131.1
Cattle,Uvs,1970,122.45
Cattle,Khovd,2025,206.89
Cattle,Khovd,2024,219.2
Cattle,Khovd,2023,196.19
Cattle,Khovd,2022,205.23
Cattle,Khovd,2021,207.62
Cattle,Khovd,2020,187.12
Cattle,Khovd,2019,187.09
Cattle,Khovd,2018,193.68
Cattle,Khovd,2017,200.51
Cattle,Khovd,2016,182.14
Cattle,Khovd,2015,156.1
Cattle,Khovd,2014,138.16
Cattle,Khovd,2013,115.06
Cattle,Khovd,2012,100.74
Cattle,Khovd,2011,87.55
Cattle,Khovd,2010,81.01
Cattle,Khovd,2009,97.92
Cattle,Khovd,2008,109.3
Cattle,Khovd,2007,115.21
Cattle,Khovd,2006,105.22
Cattle,Khovd,2005,94.62
Cattle,Khovd,2004,83.57
Cattle,Khovd,2003,73.68
Cattle,Khovd,2002,72.42
Cattle,Khovd,2001,93.57
Cattle,Khovd,2000,137.3
Cattle,Khovd,1999,150.99
Cattle,Khovd,1998,145.99
Cattle,Khovd,1997,169.27
Cattle,Khovd,1996,179.83
Cattle,Khovd,1995,179.35
Cattle,Khovd,1994,157.99
Cattle,Khovd,1993,137.59
Cattle,Khovd,1992,131.35
Cattle,Khovd,1991,131.19
Cattle,Khovd,1990,136.94
Cattle,Khovd,1989,133.94
Cattle,Khovd,1988,130.63
Cattle,Khovd,1987,123.18
Cattle,Khovd,1986,115.71
Cattle,Khovd,1985,108.95
Cattle,Khovd,1984,95.5
Cattle,Khovd,1983,101.23
Cattle,Khovd,1982,106.06
Cattle,Khovd,1981,109.78
Cattle,Khovd,1980,104.12
Cattle,Khovd,1979,104.04
Cattle,Khovd,1978,103.64
Cattle,Khovd,1977,105.25
Cattle,Khovd,1976,114.21
Cattle,Khovd,1975,114.0
Cattle,Khovd,1974,117.18
Cattle,Khovd,1973,114.97
Cattle,Khovd,1972,110.63
Cattle,Khovd,1971,102.79
Cattle,Khovd,1970,93.0
Cattle,Northern region,2025,1089.45
Cattle,Northern region,2024,1020.54
Cattle,Northern region,2023,1016.17
Cattle,Northern region,2022,987.33
Cattle,Northern region,2021,874.06
Cattle,Northern region,2020,791.17
Cattle,Northern region,2019,815.94
Cattle,Northern region,2018,755.2
Cattle,Northern region,2017,767.08
Cattle,Northern region,2016,751.85
Cattle,Northern region,2015,692.79
Cattle,Northern region,2014,632.82
Cattle,Northern region,2013,559.47
Cattle,Northern region,2012,537.78
Cattle,Northern region,2011,513.57
Cattle,Northern region,2010,506.3
Cattle,Northern region,2009,564.65
Cattle,Northern region,2008,529.88
Cattle,Northern region,2007,478.47
Cattle,Northern region,2006,416.63
Cattle,Northern region,2005,366.24
Cattle,Northern region,2004,334.33
Cattle,Northern region,2003,328.61
Cattle,Northern region,2002,396.97
Cattle,Northern region,2001,418.72
Cattle,Northern region,2000,668.46
Cattle,Northern region,1999,774.4
Cattle,Northern region,1998,730.38
Cattle,Northern region,1997,696.95
Cattle,Northern region,1996,661.32
Cattle,Northern region,1995,619.47
Cattle,Northern region,1994,564.84
Cattle,Northern region,1993,520.97
Cattle,Northern region,1992,532.54
Cattle,Northern region,1991,521.22
Cattle,Northern region,1990,511.26
Cattle,Northern region,1989,477.47
Cattle,Northern region,1988,455.1
Cattle,Northern region,1987,447.96
Cattle,Northern region,1986,443.54
Cattle,Northern region,1985,439.25
Cattle,Northern region,1984,427.72
Cattle,Northern region,1983,412.81
Cattle,Northern region,1982,402.27
Cattle,Northern region,1981,391.87
Cattle,Northern region,1980,490.41
Cattle,Northern region,1979,392.72
Cattle,Northern region,1978,397.85
Cattle,Northern region,1977,382.05
Cattle,Northern region,1976,393.97
Cattle,Northern region,1975,401.72
Cattle,Northern region,1974,387.32
Cattle,Northern region,1973,365.6
Cattle,Northern region,1972,360.96
Cattle,Northern region,1971,360.5
Cattle,Northern region,1970,353.62
Cattle,Bulgan,2025,381.7
Cattle,Bulgan,2024,358.04
Cattle,Bulgan,2023,347.2
Cattle,Bulgan,2022,332.21
Cattle,Bulgan,2021,293.67
Cattle,Bulgan,2020,269.75
Cattle,Bulgan,2019,282.39
Cattle,Bulgan,2018,255.26
Cattle,Bulgan,2017,283.89
Cattle,Bulgan,2016,293.6
Cattle,Bulgan,2015,281.58
Cattle,Bulgan,2014,259.26
Cattle,Bulgan,2013,221.01
Cattle,Bulgan,2012,195.12
Cattle,Bulgan,2011,180.93
Cattle,Bulgan,2010,176.11
Cattle,Bulgan,2009,183.85
Cattle,Bulgan,2008,162.18
Cattle,Bulgan,2007,138.52
Cattle,Bulgan,2006,114.85
Cattle,Bulgan,2005,98.11
Cattle,Bulgan,2004,84.54
Cattle,Bulgan,2003,85.22
Cattle,Bulgan,2002,141.13
Cattle,Bulgan,2001,159.96
Cattle,Bulgan,2000,225.75
Cattle,Bulgan,1999,264.36
Cattle,Bulgan,1998,247.9
Cattle,Bulgan,1997,232.05
Cattle,Bulgan,1996,220.34
Cattle,Bulgan,1995,206.54
Cattle,Bulgan,1994,188.62
Cattle,Bulgan,1993,173.16
Cattle,Bulgan,1992,180.41
Cattle,Bulgan,1991,176.87
Cattle,Bulgan,1990,174.99
Cattle,Bulgan,1989,165.01
Cattle,Bulgan,1988,155.79
Cattle,Bulgan,1987,152.88
Cattle,Bulgan,1986,154.85
Cattle,Bulgan,1985,155.36
Cattle,Bulgan,1984,156.56
Cattle,Bulgan,1983,156.44
Cattle,Bulgan,1982,154.83
Cattle,Bulgan,1981,149.06
Cattle,Bulgan,1980,146.79
Cattle,Bulgan,1979,153.48
Cattle,Bulgan,1978,153.13
Cattle,Bulgan,1977,145.16
Cattle,Bulgan,1976,146.65
Cattle,Bulgan,1975,146.49
Cattle,Bulgan,1974,139.69
Cattle,Bulgan,1973,131.61
Cattle,Bulgan,1972,130.62
Cattle,Bulgan,1971,131.62
Cattle,Bulgan,1970,132.74
Cattle,Orkhon,2025,37.58
Cattle,Orkhon,2024,34.76
Cattle,Orkhon,2023,31.98
Cattle,Orkhon,2022,27.59
Cattle,Orkhon,2021,24.29
Cattle,Orkhon,2020,20.34
Cattle,Orkhon,2019,19.04
Cattle,Orkhon,2018,17.48
Cattle,Orkhon,2017,21.9
Cattle,Orkhon,2016,21.6
Cattle,Orkhon,2015,19.19
Cattle,Orkhon,2014,18.18
Cattle,Orkhon,2013,21.63
Cattle,Orkhon,2012,20.55
Cattle,Orkhon,2011,18.8
Cattle,Orkhon,2010,17.77
Cattle,Orkhon,2009,21.85
Cattle,Orkhon,2008,21.13
Cattle,Orkhon,2007,18.28
Cattle,Orkhon,2006,15.51
Cattle,Orkhon,2005,13.24
Cattle,Orkhon,2004,11.42
Cattle,Orkhon,2003,11.93
Cattle,Orkhon,2002,20.6
Cattle,Orkhon,2001,22.29
Cattle,Orkhon,2000,26.19
Cattle,Orkhon,1999,27.81
Cattle,Orkhon,1998,23.98
Cattle,Orkhon,1997,22.74
Cattle,Orkhon,1996,25.48
Cattle,Orkhon,1995,24.47
Cattle,Orkhon,1994,20.45
Cattle,Orkhon,1993,20.35
Cattle,Orkhon,1992,19.74
Cattle,Orkhon,1991,16.6
Cattle,Orkhon,1990,13.44
Cattle,Orkhon,1989,11.53
Cattle,Orkhon,1988,10.48
Cattle,Orkhon,1987,9.06
Cattle,Orkhon,1986,7.9
Cattle,Orkhon,1985,7.9
Cattle,Orkhon,1984,7.6
Cattle,Orkhon,1983,7.21
Cattle,Orkhon,1982,6.3
Cattle,Orkhon,1981,5.31
Cattle,Orkhon,1980,4.41
Cattle,Orkhon,1979,2.7
Cattle,Orkhon,1978,2.9
Cattle,Orkhon,1977,1.9
Cattle,Orkhon,1976,1.1
Cattle,Orkhon,1975,
Cattle,Orkhon,1974,
Cattle,Orkhon,1973,
Cattle,Orkhon,1972,
Cattle,Orkhon,1971,
Cattle,Orkhon,1970,
Cattle,Khuvsgul,2025,670.17
Cattle,Khuvsgul,2024,627.74
Cattle,Khuvsgul,2023,636.99
Cattle,Khuvsgul,2022,627.53
Cattle,Khuvsgul,2021,556.11
Cattle,Khuvsgul,2020,501.08
Cattle,Khuvsgul,2019,514.51
Cattle,Khuvsgul,2018,482.46
Cattle,Khuvsgul,2017,461.29
Cattle,Khuvsgul,2016,436.65
Cattle,Khuvsgul,2015,392.03
Cattle,Khuvsgul,2014,355.38
Cattle,Khuvsgul,2013,316.83
Cattle,Khuvsgul,2012,322.11
Cattle,Khuvsgul,2011,313.84
Cattle,Khuvsgul,2010,312.42
Cattle,Khuvsgul,2009,358.95
