Хүйс_code,Хүйс,Насны бүлэг_code,Насны бүлэг,Он_code,Он,value
0,Total,14,65-69,9,2015,43089
0,Total,14,65-69,10,2014,42307
0,Total,14,65-69,11,2013,40373
0,Total,14,65-69,12,2012,39354
0,Total,14,65-69,13,2011,39965
0,Total,14,65-69,14,2010,41151
0,Total,14,65-69,15,2009,44186
0,Total,14,65-69,16,2008,44263
0,Total,14,65-69,17,2007,43739
0,Total,14,65-69,18,2006,43330
0,Total,14,65-69,19,2005,37295
0,Total,14,65-69,20,2004,36867
0,Total,14,65-69,21,2003,36476
0,Total,14,65-69,22,2002,36047
0,Total,14,65-69,23,2001,35428
0,Total,14,65-69,24,2000,35110
0,Total,14,65-69,25,1999,35415
0,Total,14,65-69,26,1998,35484
0,Total,14,65-69,27,1997,33938
0,Total,14,65-69,28,1996,30826
0,Total,14,65-69,29,1995,30412
0,Total,14,65-69,30,1994,27932
0,Total,14,65-69,31,1993,28849
0,Total,14,65-69,32,1992,29378
0,Total,14,65-69,33,1991,31048
0,Total,14,65-69,34,1990,32296
0,Total,14,65-69,35,1989,31488
0,Total,14,65-69,36,1979,32793
0,Total,14,65-69,37,1969,32442
0,Total,14,65-69,38,1963,27448
0,Total,14,65-69,39,1956,22815
0,Total,15,70+,0,2024,101814
0,Total,15,70+,1,2023,95970
0,Total,15,70+,2,2022,90894
0,Total,15,70+,3,2021,86042
0,Total,15,70+,4,2020,85319
0,Total,15,70+,5,2019,80317
0,Total,15,70+,6,2018,77634
0,Total,15,70+,7,2017,75391
0,Total,15,70+,8,2016,73583
0,Total,15,70+,9,2015,71976
0,Total,15,70+,10,2014,76281
0,Total,15,70+,11,2013,71128
0,Total,15,70+,12,2012,70963
0,Total,15,70+,13,2011,67673
0,Total,15,70+,14,2010,67742
0,Total,15,70+,15,2009,66055
0,Total,15,70+,16,2008,65719
0,Total,15,70+,17,2007,64266
0,Total,15,70+,18,2006,64286
0,Total,15,70+,19,2005,52368
0,Total,15,70+,20,2004,51766
0,Total,15,70+,21,2003,51218
0,Total,15,70+,22,2002,50615
0,Total,15,70+,23,2001,50601
0,Total,15,70+,24,2000,49577
0,Total,15,70+,25,1999,46588
0,Total,15,70+,26,1998,55560
0,Total,15,70+,27,1997,55010
0,Total,15,70+,28,1996,54974
0,Total,15,70+,29,1995,54575
0,Total,15,70+,30,1994,53116
0,Total,15,70+,31,1993,56272
0,Total,15,70+,32,1992,56271
0,Total,15,70+,33,1991,57297
0,Total,15,70+,34,1990,56236
0,Total,15,70+,35,1989,51140
0,Total,15,70+,36,1979,46289
0,Total,15,70+,37,1969,39500
0,Total,15,70+,38,1963,36540
0,Total,15,70+,39,1956,29928
1,Male,0,Total,0,2024,1736360
1,Male,0,Total,1,2023,1718275
1,Male,0,Total,2,2022,1696148
1,Male,0,Total,3,2021,1674058
1,Male,0,Total,4,2020,1648979
1,Male,0,Total,5,2019,1619573
1,Male,0,Total,6,2018,1591848
1,Male,0,Total,7,2017,1562370
1,Male,0,Total,8,2016,1533983
1,Male,0,Total,9,2015,1503612
1,Male,0,Total,10,2014,1466455
1,Male,0,Total,11,2013,1425843
1,Male,0,Total,12,2012,1393453
1,Male,0,Total,13,2011,1364723
1,Male,0,Total,14,2010,1342081
1,Male,0,Total,15,2009,1328140
1,Male,0,Total,16,2008,1301305
1,Male,0,Total,17,2007,1277249
1,Male,0,Total,18,2006,1259653
1,Male,0,Total,19,2005,1265614
1,Male,0,Total,20,2004,1251052
1,Male,0,Total,21,2003,1237838
1,Male,0,Total,22,2002,1223235
1,Male,0,Total,23,2001,1204702
1,Male,0,Total,24,2000,1190244
1,Male,0,Total,25,1999,1177981
1,Male,0,Total,26,1998,1161666
1,Male,0,Total,27,1997,1145568
1,Male,0,Total,28,1996,1129848
1,Male,0,Total,29,1995,1114370
1,Male,0,Total,30,1994,1096797
1,Male,0,Total,31,1993,1082495
1,Male,0,Total,32,1992,1075995
1,Male,0,Total,33,1991,1085404
1,Male,0,Total,34,1990,1073647
1,Male,0,Total,35,1989,1020669
1,Male,0,Total,36,1979,798868
1,Male,0,Total,37,1969,597359
1,Male,0,Total,38,1963,508029
1,Male,0,Total,39,1956,420291
1,Male,1,0-4,0,2024,174398
1,Male,1,0-4,1,2023,181491
1,Male,1,0-4,2,2022,187706
1,Male,1,0-4,3,2021,192713
1,Male,1,0-4,4,2020,195957
1,Male,1,0-4,5,2019,198005
1,Male,1,0-4,6,2018,200715
1,Male,1,0-4,7,2017,202282
1,Male,1,0-4,8,2016,201936
1,Male,1,0-4,9,2015,198115
1,Male,1,0-4,10,2014,176583
1,Male,1,0-4,11,2013,162383
1,Male,1,0-4,12,2012,154772
1,Male,1,0-4,13,2011,146292
1,Male,1,0-4,14,2010,140006
1,Male,1,0-4,15,2009,133924
1,Male,1,0-4,16,2008,125642
1,Male,1,0-4,17,2007,117838
1,Male,1,0-4,18,2006,109435
1,Male,1,0-4,19,2005,117519
1,Male,1,0-4,20,2004,116168
1,Male,1,0-4,21,2003,114939
1,Male,1,0-4,22,2002,113584
1,Male,1,0-4,23,2001,115498
1,Male,1,0-4,24,2000,116370
1,Male,1,0-4,25,1999,124482
1,Male,1,0-4,26,1998,119826
1,Male,1,0-4,27,1997,118442
1,Male,1,0-4,28,1996,123825
1,Male,1,0-4,29,1995,131656
1,Male,1,0-4,30,1994,139422
1,Male,1,0-4,31,1993,148716
1,Male,1,0-4,32,1992,161321
1,Male,1,0-4,33,1991,169421
1,Male,1,0-4,34,1990,172036
1,Male,1,0-4,35,1989,164010
1,Male,1,0-4,36,1979,133259
1,Male,1,0-4,37,1969,99441
1,Male,1,0-4,38,1963,85563
1,Male,1,0-4,39,1956,53175
1,Male,2,5-9,0,2024,197034
1,Male,2,5-9,1,2023,201803
