product,date,price
"Milk, fresh, not pasteurised, l",2024-06-10,3437.0
"Butter cream, Sain zuuhii, 450 g",2024-06-10,8475.0
"Milk, pasteurised, l",2024-06-10,4453.0
"Milk, pasteurised, 500 g",2024-06-10,2237.0
"Milk, fresh, not pasteurised, l",2024-06-03,3509.0
"Milk, pasteurised, 500 g",2024-06-03,2237.0
"Butter cream, Sain zuuhii, 450 g",2024-06-03,8475.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-06-03,4067.0
"Milk, pasteurised, l",2024-06-03,4453.0
"Butter cream, Sain zuuhii, 450 g",2024-05-27,8475.0
"Milk, pasteurised, 500 g",2024-05-27,2237.0
"Milk, fresh, not pasteurised, l",2024-05-27,3605.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-05-27,4067.0
"Milk, pasteurised, l",2024-05-27,4445.0
"Butter cream, Sain zuuhii, 450 g",2024-05-20,8475.0
"Milk, pasteurised, l",2024-05-20,4445.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-05-20,4060.0
"Milk, fresh, not pasteurised, l",2024-05-20,3895.0
"Milk, pasteurised, 500 g",2024-05-20,2237.0
"Butter cream, Sain zuuhii, 450 g",2024-05-13,8475.0
"Milk, pasteurised, l",2024-05-13,4445.0
"Milk, pasteurised, 500 g",2024-05-13,2237.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-05-13,4060.0
"Milk, fresh, not pasteurised, l",2024-05-13,3895.0
"Milk, pasteurised, l",2024-05-06,4445.0
"Milk, pasteurised, 500 g",2024-05-06,2237.0
"Butter cream, Sain zuuhii, 450 g",2024-05-06,8475.0
"Milk, fresh, not pasteurised, l",2024-05-06,3895.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-05-06,4060.0
"Butter cream, Sain zuuhii, 450 g",2024-04-29,8475.0
"Milk, pasteurised, 500 g",2024-04-29,2237.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-04-29,4051.0
"Milk, pasteurised, l",2024-04-29,4445.0
"Milk, fresh, not pasteurised, l",2024-04-29,3895.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-04-22,4040.0
"Milk, pasteurised, l",2024-04-22,4445.0
"Milk, fresh, not pasteurised, l",2024-04-22,3895.0
"Butter cream, Sain zuuhii, 450 g",2024-04-22,8475.0
"Milk, pasteurised, 500 g",2024-04-22,2237.0
"Milk, fresh, not pasteurised, l",2024-04-15,3895.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-04-15,4040.0
"Milk, pasteurised, 500 g",2024-04-15,2237.0
"Butter cream, Sain zuuhii, 450 g",2024-04-15,8475.0
"Milk, pasteurised, l",2024-04-15,4445.0
"Milk, fresh, not pasteurised, l",2024-04-08,3869.0
"Milk, pasteurised, 500 g",2024-04-08,2237.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-04-08,4037.0
"Milk, pasteurised, l",2024-04-08,4445.0
