id,сургууль,хаяг,дүүргийн_код,дүүрэг,хорооны_код,хороо,lon,lat
5012,20-р ахлах сургууль,БГД 4-р хороо Төмөр зам 12-р байрны хойно,16,Баянгол,1604,4-р хороо,106.881394,47.913366
5161,Шинэ эрин лаборатори сургууль,"БГД 4-р хороо, Төмөр замын эмнэлэгийн зүүн талд",16,Баянгол,1604,4-р хороо,106.882219,47.91364
5224,Эрхэт эрдэм сургууль,"БГД 1-р хороолол, Эрхэт эрдэм сургуулийн байр",16,Баянгол,1604,4-р хороо,106.883057,47.911843
5209,Монгол коосэн технологийн ахлах сургууль,БГД 5-р хороо,16,Баянгол,1605,5-р хороо,106.861258,47.914403
5013,Эрдмийн өргөө ЦС 56-р сургууль,"БГД 6 хороо, 10-р хороолол",16,Баянгол,1606,6-р хороо,106.866131,47.916313
5214,Төгс билиг сургууль,БГД 6-р хороо UB palase урд 45А байр,16,Баянгол,1606,6-р хороо,106.874222,47.915411
5241,Эрдмийн өргөө ЦС 43-р сургууль,"БГД 6-р хороо, ЭТӨЧ",16,Баянгол,1606,6-р хороо,106.866511,47.91696
5008,Эрдийн Ундраа ЦС 78-р сургууль,БГД 7-р хороо,16,Баянгол,1607,7-р хороо,106.864566,47.919232
5046,93-р сургууль,БГД 7-р хороо 4-р хороолол,16,Баянгол,1607,7-р хороо,106.865756,47.919723
5219,Сейнт Поул бага сургууль,"БГД 7-р хороо, Говь сауны урд",16,Баянгол,1607,7-р хороо,106.862756,47.921309
