сар,үзүүлэлт,утга
2022-02,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Өссөн дүнгийн гүйцэтгэл,93.4
2022-03,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Биелэлт (%),19.0
2022-03,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Жилийн төлөвлөгөө,31400.0
2022-03,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Өссөн дүнгийн гүйцэтгэл,5962.0
2022-03,Ашигт малтмалын үйлчилгээний орлого | Биелэлт (%),63.4
2022-03,Ашигт малтмалын үйлчилгээний орлого | Жилийн төлөвлөгөө,910.0
2022-03,Ашигт малтмалын үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,577.1
2022-03,БҮГД | Биелэлт (%),6.3
2022-03,БҮГД | Жилийн төлөвлөгөө,354050.0
2022-03,БҮГД | Өссөн дүнгийн гүйцэтгэл,22383.8
2022-03,Газрын тосны экспорт | Биелэлт (%),0.3
2022-03,Газрын тосны экспорт | Жилийн төлөвлөгөө,277500.0
2022-03,Газрын тосны экспорт | Өссөн дүнгийн гүйцэтгэл,861.3
2022-03,Газрын тосны үйлчилгээний орлого | Биелэлт (%),65.8
2022-03,Газрын тосны үйлчилгээний орлого | Жилийн төлөвлөгөө,1740.0
2022-03,Газрын тосны үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,1144.3
2022-03,Сонгон шалгаруулалт | Биелэлт (%),54.6
2022-03,Сонгон шалгаруулалт | Жилийн төлөвлөгөө,25000.0
2022-03,Сонгон шалгаруулалт | Өссөн дүнгийн гүйцэтгэл,13642.2
2022-03,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Биелэлт (%),1.1
