date,product_region,price
2023-02,Wheat seed — Orkhon,1200000.0
2023-02,Wheat seed — Selenge,866667.0
2023-02,Wheat seed — Tuv,1116667.0
2023-02,Wheat seed — Uvurkhangai,975000.0
2023-02,Wheat seed — Zavkhan,1200000.0
2023-02,Wheat — Dornod,850000.0
2023-02,Wheat — Orkhon,1200000.0
2023-02,Wheat — Selenge,625000.0
2023-02,Wheat — Tuv,881667.0
2023-02,Wheat — Uvurkhangai,750000.0
2023-02,Wheat — Zavkhan,1200000.0
2023-03,Wheat seed — Bulgan,1147500.0
2023-03,Wheat seed — Dornod,1100000.0
2023-03,Wheat seed — Orkhon,1200000.0
2023-03,Wheat seed — Selenge,866667.0
2023-03,Wheat seed — Tuv,1200000.0
2023-03,Wheat seed — Uvurkhangai,1200000.0
2023-03,Wheat seed — Zavkhan,1200000.0
