Indicator,Station location,Month,value
Average air temperature, Zuunkharaa,2010-11,-7.0
Average air temperature, Zuunkharaa,2010-10,2.3
Average air temperature, Zuunkharaa,2010-09,11.8
Average air temperature, Zuunkharaa,2010-08,15.5
Average air temperature, Zuunkharaa,2010-07,21.1
Average air temperature, Zuunkharaa,2010-06,18.6
Average air temperature, Zuunkharaa,2010-05,12.4
Average air temperature, Zuunkharaa,2010-04,0.0
Average air temperature, Zuunkharaa,2010-03,-12.0
Average air temperature, Zuunkharaa,2010-02,-24.9
Average air temperature, Zuunkharaa,2010-01,-26.5
Average air temperature, Zuunkharaa,2009-12,-21.1
Average air temperature, Zuunkharaa,2009-11,-12.6
Average air temperature, Zuunkharaa,2009-10,2.2
Average air temperature, Zuunkharaa,2009-09,9.6
Average air temperature, Zuunkharaa,2009-08,17.0
Average air temperature, Zuunkharaa,2009-07,16.9
Average air temperature, Zuunkharaa,2009-06,17.3
Average air temperature, Zuunkharaa,2009-05,13.4
Average air temperature, Zuunkharaa,2009-04,7.9
Average air temperature, Zuunkharaa,2009-03,-6.5
Average air temperature, Zuunkharaa,2009-02,-17.4
Average air temperature, Zuunkharaa,2009-01,-21.9
Average air temperature, Zuunkharaa,2008-12,-18.9
Average air temperature, Zuunkharaa,2008-11,-9.4
Average air temperature, Zuunkharaa,2008-10,2.0
Average air temperature, Zuunkharaa,2008-09,11.7
Average air temperature, Zuunkharaa,2008-08,17.4
Average air temperature, Zuunkharaa,2008-07,21.9
Average air temperature, Zuunkharaa,2008-06,18.3
Average air temperature, Zuunkharaa,2008-05,9.1
Average air temperature, Zuunkharaa,2008-04,6.1
Average air temperature, Zuunkharaa,2008-03,-1.3
Average air temperature, Zuunkharaa,2008-02,-20.8
Average air temperature, Zuunkharaa,2008-01,-27.4
Average air temperature, Zuunkharaa,2007-12,
Average air temperature, Zuunkharaa,2007-11,
Average air temperature, Zuunkharaa,2007-10,
Average air temperature, Zuunkharaa,2007-09,
Average air temperature, Zuunkharaa,2007-08,
Average air temperature, Zuunkharaa,2007-07,
Average air temperature, Zuunkharaa,2007-06,
Average air temperature, Zuunkharaa,2007-05,
Average air temperature, Zuunkharaa,2007-04,
Average air temperature, Zuunkharaa,2007-03,
Average air temperature, Zuunkharaa,2007-02,
Average air temperature, Zuunkharaa,2007-01,
Average air temperature, Zuunkharaa,2006-12,
Average air temperature, Zuunkharaa,2006-11,
Average air temperature, Zuunkharaa,2006-10,
Average air temperature, Zuunkharaa,2006-09,
Average air temperature, Zuunkharaa,2006-08,
Average air temperature, Zuunkharaa,2006-07,
Average air temperature, Zuunkharaa,2006-06,
Average air temperature, Zuunkharaa,2006-05,
Average air temperature, Zuunkharaa,2006-04,
Average air temperature, Zuunkharaa,2006-03,
Average air temperature, Zuunkharaa,2006-02,
Average air temperature, Zuunkharaa,2006-01,
Average air temperature, Zuunkharaa,2005-12,
Average air temperature, Zuunkharaa,2005-11,
Average air temperature, Zuunkharaa,2005-10,
Average air temperature, Zuunkharaa,2005-09,
Average air temperature, Zuunkharaa,2005-08,
Average air temperature, Zuunkharaa,2005-07,
Average air temperature, Zuunkharaa,2005-06,
Average air temperature, Zuunkharaa,2005-05,
Average air temperature, Zuunkharaa,2005-04,
Average air temperature, Zuunkharaa,2005-03,
Average air temperature, Zuunkharaa,2005-02,
Average air temperature, Zuunkharaa,2005-01,
Average air temperature, Sainshand,2025-11,-3.5
Average air temperature, Sainshand,2025-10,3.8
Average air temperature, Sainshand,2025-09,16.5
Average air temperature, Sainshand,2025-08,22.3
Average air temperature, Sainshand,2025-07,25.3
Average air temperature, Sainshand,2025-06,22.4
Average air temperature, Sainshand,2025-5,15.2
Average air temperature, Sainshand,2025-4,9.2
Average air temperature, Sainshand,2025-3,0.3
Average air temperature, Sainshand,2025-2,-12.6
Average air temperature, Sainshand,2025-1,-13.3
Average air temperature, Sainshand,2024-12,-12.4
Average air temperature, Sainshand,2024-11,-1.7
Average air temperature, Sainshand,2024-10,6.1
Average air temperature, Sainshand,2024-09,14.6
Average air temperature, Sainshand,2024-08,22.7
Average air temperature, Sainshand,2024-07,24.8
Average air temperature, Sainshand,2024-06,22.3
Average air temperature, Sainshand,2024-05,17.8
Average air temperature, Sainshand,2024-04,10.2
Average air temperature, Sainshand,2024-03,-2.2
Average air temperature, Sainshand,2024-02,-17.1
Average air temperature, Sainshand,2024-01,-18.2
Average air temperature, Sainshand,2023-12,-18.0
Average air temperature, Sainshand,2023-11,-9.2
Average air temperature, Sainshand,2023-10,8.7
Average air temperature, Sainshand,2023-09,17.5
Average air temperature, Sainshand,2023-08,23.3
Average air temperature, Sainshand,2023-07,24.1
Average air temperature, Sainshand,2023-06,23.5
Average air temperature, Sainshand,2023-05,14.8
Average air temperature, Sainshand,2023-04,6.2
Average air temperature, Sainshand,2023-03,0.9
Average air temperature, Sainshand,2023-02,-8.3
Average air temperature, Sainshand,2023-01,-15.5
Average air temperature, Sainshand,2022-12,-16.7
Average air temperature, Sainshand,2022-11,-5.0
Average air temperature, Sainshand,2022-10,4.2
Average air temperature, Sainshand,2022-09,17.5
Average air temperature, Sainshand,2022-08,21.3
Average air temperature, Sainshand,2022-07,24.6
Average air temperature, Sainshand,2022-06,22.4
Average air temperature, Sainshand,2022-05,16.0
Average air temperature, Sainshand,2022-04,8.9
Average air temperature, Sainshand,2022-03,-1.0
Average air temperature, Sainshand,2022-02,-14.3
Average air temperature, Sainshand,2022-01,-14.5
Average air temperature, Sainshand,2021-12,-11.2
Average air temperature, Sainshand,2021-11,-4.7
Average air temperature, Sainshand,2021-10,5.2
Average air temperature, Sainshand,2021-09,16.7
Average air temperature, Sainshand,2021-08,20.9
Average air temperature, Sainshand,2021-07,24.5
Average air temperature, Sainshand,2021-06,20.9
Average air temperature, Sainshand,2021-05,13.6
Average air temperature, Sainshand,2021-04,8.4
Average air temperature, Sainshand,2021-03,1.5
Average air temperature, Sainshand,2021-02,-8.4
Average air temperature, Sainshand,2021-01,-18.9
Average air temperature, Sainshand,2020-12,-19.9
Average air temperature, Sainshand,2020-11,-6.6
Average air temperature, Sainshand,2020-10,3.6
Average air temperature, Sainshand,2020-09,15.2
Average air temperature, Sainshand,2020-08,20.9
Average air temperature, Sainshand,2020-07,24.6
Average air temperature, Sainshand,2020-06,22.9
Average air temperature, Sainshand,2020-05,15.9
Average air temperature, Sainshand,2020-04,8.6
Average air temperature, Sainshand,2020-03,-0.6
Average air temperature, Sainshand,2020-02,-9.5
Average air temperature, Sainshand,2020-01,-16.1
Average air temperature, Sainshand,2019-12,-14.4
Average air temperature, Sainshand,2019-11,-5.5
Average air temperature, Sainshand,2019-10,5.1
Average air temperature, Sainshand,2019-09,18.3
Average air temperature, Sainshand,2019-08,20.5
Average air temperature, Sainshand,2019-07,24.9
Average air temperature, Sainshand,2019-06,22.2
Average air temperature, Sainshand,2019-05,14.8
Average air temperature, Sainshand,2019-04,9.0
Average air temperature, Sainshand,2019-03,-0.6
Average air temperature, Sainshand,2019-02,-15.5
Average air temperature, Sainshand,2019-01,-15.0
Average air temperature, Sainshand,2018-12,-16.7
Average air temperature, Sainshand,2018-11,-5.8
Average air temperature, Sainshand,2018-10,5.1
Average air temperature, Sainshand,2018-09,13.6
Average air temperature, Sainshand,2018-08,22.4
Average air temperature, Sainshand,2018-07,24.5
Average air temperature, Sainshand,2018-06,23.5
Average air temperature, Sainshand,2018-05,18.0
Average air temperature, Sainshand,2018-04,8.9
Average air temperature, Sainshand,2018-03,2.1
Average air temperature, Sainshand,2018-02,-12.5
Average air temperature, Sainshand,2018-01,-18.3
Average air temperature, Sainshand,2017-12,-12.1
Average air temperature, Sainshand,2017-11,-7.5
Average air temperature, Sainshand,2017-10,5.0
Average air temperature, Sainshand,2017-09,15.8
Average air temperature, Sainshand,2017-08,21.1
Average air temperature, Sainshand,2017-07,26.2
Average air temperature, Sainshand,2017-06,23.6
Average air temperature, Sainshand,2017-05,17.6
Average air temperature, Sainshand,2017-04,9.4
Average air temperature, Sainshand,2017-03,0.7
Average air temperature, Sainshand,2017-02,-9.4
Average air temperature, Sainshand,2017-01,-15.4
Average air temperature, Sainshand,2016-12,-11.6
Average air temperature, Sainshand,2016-11,-7.4
Average air temperature, Sainshand,2016-10,3.5
Average air temperature, Sainshand,2016-09,15.7
Average air temperature, Sainshand,2016-08,25.1
Average air temperature, Sainshand,2016-07,26.0
Average air temperature, Sainshand,2016-06,20.4
Average air temperature, Sainshand,2016-05,14.0
Average air temperature, Sainshand,2016-04,8.3
Average air temperature, Sainshand,2016-03,-0.6
Average air temperature, Sainshand,2016-02,-12.0
Average air temperature, Sainshand,2016-01,-20.9
Average air temperature, Sainshand,2015-12,-16.1
Average air temperature, Sainshand,2015-11,-9.1
Average air temperature, Sainshand,2015-10,7.0
Average air temperature, Sainshand,2015-09,16.0
Average air temperature, Sainshand,2015-08,22.7
Average air temperature, Sainshand,2015-07,24.1
Average air temperature, Sainshand,2015-06,20.1
Average air temperature, Sainshand,2015-05,14.0
Average air temperature, Sainshand,2015-04,8.5
Average air temperature, Sainshand,2015-03,-1.4
Average air temperature, Sainshand,2015-02,-8.7
Average air temperature, Sainshand,2015-01,-12.9
Average air temperature, Sainshand,2014-12,-13.3
Average air temperature, Sainshand,2014-11,-3.0
Average air temperature, Sainshand,2014-10,8.8
Average air temperature, Sainshand,2014-09,16.6
Average air temperature, Sainshand,2014-08,23.9
Average air temperature, Sainshand,2014-07,27.0
Average air temperature, Sainshand,2014-06,22.2
Average air temperature, Sainshand,2014-05,15.6
Average air temperature, Sainshand,2014-04,11.0
Average air temperature, Sainshand,2014-03,2.3
Average air temperature, Sainshand,2014-02,-10.8
Average air temperature, Sainshand,2014-01,-10.6
Average air temperature, Sainshand,2013-12,-10.9
Average air temperature, Sainshand,2013-11,-2.2
Average air temperature, Sainshand,2013-10,7.0
Average air temperature, Sainshand,2013-09,16.5
Average air temperature, Sainshand,2013-08,23.2
Average air temperature, Sainshand,2013-07,25.8
Average air temperature, Sainshand,2013-06,22.8
Average air temperature, Sainshand,2013-05,19.3
Average air temperature, Sainshand,2013-04,6.1
Average air temperature, Sainshand,2013-03,0.2
Average air temperature, Sainshand,2013-02,-13.4
Average air temperature, Sainshand,2013-01,-15.4
Average air temperature, Sainshand,2012-12,-16.3
Average air temperature, Sainshand,2012-11,-5.9
Average air temperature, Sainshand,2012-10,6.7
Average air temperature, Sainshand,2012-09,16.4
Average air temperature, Sainshand,2012-08,22.1
Average air temperature, Sainshand,2012-07,22.9
Average air temperature, Sainshand,2012-06,20.7
Average air temperature, Sainshand,2012-05,16.4
Average air temperature, Sainshand,2012-04,8.3
Average air temperature, Sainshand,2012-03,-4.3
Average air temperature, Sainshand,2012-02,-15.5
Average air temperature, Sainshand,2012-01,-22.0
Average air temperature, Sainshand,2011-12,-19.9
Average air temperature, Sainshand,2011-11,-7.6
Average air temperature, Sainshand,2011-10,7.0
Average air temperature, Sainshand,2011-09,12.9
Average air temperature, Sainshand,2011-08,24.3
Average air temperature, Sainshand,2011-07,22.7
Average air temperature, Sainshand,2011-06,22.6
Average air temperature, Sainshand,2011-05,13.3
Average air temperature, Sainshand,2011-04,7.2
Average air temperature, Sainshand,2011-03,-3.8
Average air temperature, Sainshand,2011-02,-10.2
Average air temperature, Sainshand,2011-01,-21.6
Average air temperature, Sainshand,2010-12,-15.0
Average air temperature, Sainshand,2010-11,-5.1
Average air temperature, Sainshand,2010-10,5.8
Average air temperature, Sainshand,2010-09,15.9
Average air temperature, Sainshand,2010-08,21.4
Average air temperature, Sainshand,2010-07,26.5
Average air temperature, Sainshand,2010-06,24.0
Average air temperature, Sainshand,2010-05,15.0
Average air temperature, Sainshand,2010-04,2.4
Average air temperature, Sainshand,2010-03,-6.3
Average air temperature, Sainshand,2010-02,-13.8
Average air temperature, Sainshand,2010-01,-21.3
Average air temperature, Sainshand,2009-12,-15.5
Average air temperature, Sainshand,2009-11,-8.1
Average air temperature, Sainshand,2009-10,5.1
Average air temperature, Sainshand,2009-09,15.0
Average air temperature, Sainshand,2009-08,22.3
Average air temperature, Sainshand,2009-07,25.3
Average air temperature, Sainshand,2009-06,20.1
Average air temperature, Sainshand,2009-05,16.9
Average air temperature, Sainshand,2009-04,9.8
Average air temperature, Sainshand,2009-03,-2.5
Average air temperature, Sainshand,2009-02,-10.2
Average air temperature, Sainshand,2009-01,-16.4
Average air temperature, Sainshand,2008-12,-13.9
Average air temperature, Sainshand,2008-11,-3.5
Average air temperature, Sainshand,2008-10,6.1
Average air temperature, Sainshand,2008-09,15.5
Average air temperature, Sainshand,2008-08,22.6
Average air temperature, Sainshand,2008-07,24.8
Average air temperature, Sainshand,2008-06,21.0
Average air temperature, Sainshand,2008-05,12.8
Average air temperature, Sainshand,2008-04,10.0
Average air temperature, Sainshand,2008-03,0.7
Average air temperature, Sainshand,2008-02,-12.3
Average air temperature, Sainshand,2008-01,-18.7
Average air temperature, Sainshand,2007-12,-12.3
Average air temperature, Sainshand,2007-11,-4.6
Average air temperature, Sainshand,2007-10,5.5
Average air temperature, Sainshand,2007-09,18.2
Average air temperature, Sainshand,2007-08,23.4
Average air temperature, Sainshand,2007-07,26.0
Average air temperature, Sainshand,2007-06,24.0
Average air temperature, Sainshand,2007-05,15.8
Average air temperature, Sainshand,2007-04,7.6
Average air temperature, Sainshand,2007-03,-2.4
Average air temperature, Sainshand,2007-02,-5.8
Average air temperature, Sainshand,2007-01,-15.4
Average air temperature, Sainshand,2006-12,-13.8
Average air temperature, Sainshand,2006-11,-4.4
Average air temperature, Sainshand,2006-10,7.6
Average air temperature, Sainshand,2006-09,16.2
Average air temperature, Sainshand,2006-08,23.8
Average air temperature, Sainshand,2006-07,23.9
Average air temperature, Sainshand,2006-06,20.4
Average air temperature, Sainshand,2006-05,14.3
Average air temperature, Sainshand,2006-04,4.8
Average air temperature, Sainshand,2006-03,-1.8
Average air temperature, Sainshand,2006-02,-12.1
Average air temperature, Sainshand,2006-01,-15.0
Average air temperature, Sainshand,2005-12,-16.2
Average air temperature, Sainshand,2005-11,-3.6
Average air temperature, Sainshand,2005-10,7.2
Average air temperature, Sainshand,2005-09,15.6
Average air temperature, Sainshand,2005-08,23.9
Average air temperature, Sainshand,2005-07,25.4
Average air temperature, Sainshand,2005-06,22.1
Average air temperature, Sainshand,2005-05,14.6
Average air temperature, Sainshand,2005-04,7.7
Average air temperature, Sainshand,2005-03,-3.4
Average air temperature, Sainshand,2005-02,-16.9
Average air temperature, Sainshand,2005-01,-15.9
Average air temperature, Sukhbaatar,2025-11,-7.5
Average air temperature, Sukhbaatar,2025-10,-1.2
Average air temperature, Sukhbaatar,2025-09,11.9
Average air temperature, Sukhbaatar,2025-08,18.2
Average air temperature, Sukhbaatar,2025-07,21.4
Average air temperature, Sukhbaatar,2025-06,19.6
Average air temperature, Sukhbaatar,2025-5,13.0
Average air temperature, Sukhbaatar,2025-4,6.6
Average air temperature, Sukhbaatar,2025-3,-3.0
Average air temperature, Sukhbaatar,2025-2,-18.3
Average air temperature, Sukhbaatar,2025-1,-20.7
Average air temperature, Sukhbaatar,2024-12,-19.8
Average air temperature, Sukhbaatar,2024-11,-7.4
Average air temperature, Sukhbaatar,2024-10,2.1
Average air temperature, Sukhbaatar,2024-09,11.6
Average air temperature, Sukhbaatar,2024-08,20.4
Average air temperature, Sukhbaatar,2024-07,23.4
Average air temperature, Sukhbaatar,2024-06,18.4
Average air temperature, Sukhbaatar,2024-05,13.9
Average air temperature, Sukhbaatar,2024-04,6.4
Average air temperature, Sukhbaatar,2024-03,-4.8
Average air temperature, Sukhbaatar,2024-02,-20.6
Average air temperature, Sukhbaatar,2024-01,-20.7
Average air temperature, Sukhbaatar,2023-12,-22.1
Average air temperature, Sukhbaatar,2023-11,-10.6
Average air temperature, Sukhbaatar,2023-10,5.3
Average air temperature, Sukhbaatar,2023-09,12.8
Average air temperature, Sukhbaatar,2023-08,19.0
Average air temperature, Sukhbaatar,2023-07,20.2
Average air temperature, Sukhbaatar,2023-06,18.4
Average air temperature, Sukhbaatar,2023-05,10.4
Average air temperature, Sukhbaatar,2023-04,1.7
Average air temperature, Sukhbaatar,2023-03,-2.9
Average air temperature, Sukhbaatar,2023-02,-17.1
Average air temperature, Sukhbaatar,2023-01,-21.7
Average air temperature, Sukhbaatar,2022-12,-17.8
Average air temperature, Sukhbaatar,2022-11,-9.5
Average air temperature, Sukhbaatar,2022-10,1.6
Average air temperature, Sukhbaatar,2022-09,11.8
Average air temperature, Sukhbaatar,2022-08,16.7
Average air temperature, Sukhbaatar,2022-07,19.0
Average air temperature, Sukhbaatar,2022-06,18.7
Average air temperature, Sukhbaatar,2022-05,13.6
Average air temperature, Sukhbaatar,2022-04,5.4
Average air temperature, Sukhbaatar,2022-03,-5.0
Average air temperature, Sukhbaatar,2022-02,-18.8
Average air temperature, Sukhbaatar,2022-01,-20.2
Average air temperature, Sukhbaatar,2021-12,-16.5
Average air temperature, Sukhbaatar,2021-11,-6.6
Average air temperature, Sukhbaatar,2021-10,2.6
Average air temperature, Sukhbaatar,2021-09,10.4
Average air temperature, Sukhbaatar,2021-08,17.6
Average air temperature, Sukhbaatar,2021-07,19.8
Average air temperature, Sukhbaatar,2021-06,16.5
