id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр,Хаяг
2217,,,Point,106.917849,47.926605,Эмийн сан,Хонхон цэцгийн дэлбээ,SBD-6
2218,,,Point,106.916207,47.922162,Эмийн сан,Вондерлак,SBD-6
2219,,,Point,106.916823,47.928327,Эмийн сан,Тана сүлд,SBD-6
2220,,,Point,106.926715,47.927229,Эмийн сан,Оточ Тойн,SBD-7
2221,,,Point,106.937508,47.98052,Эмийн сан,Баян нинж,SBD-17
2222,,,Point,106.920824,47.918185,Эмийн сан,Цагаан суврага эс Монос,SBD-8
2223,,,Point,106.925209,47.920807,Эмийн сан,Анар Арома,SBD-8
2224,,,Point,106.922559,47.931924,Эмийн сан,Зүтгэл фарм,SBD-10
2225,,,Point,106.9218,47.930249,Эмийн сан,Ариун тан,SBD-10
2226,,,Point,106.924295,47.932608,Эмийн сан,Сүлдэн,SBD-10
2227,,,Point,106.928134,47.931424,Эмийн сан,Марс-1,SBD-11
2228,,,Point,106.920429,47.93177,Эмийн сан,Нахиа фарм,SBD-10
2229,,,Point,106.915005,47.944114,Эмийн сан,Цаа ов,SBD-12
2230,,,Point,106.918486,47.964169,Эмийн сан,Арвижих халиун,SBD-14
2231,,,Point,106.9208,47.965753,Эмийн сан,Ариг тун,SBD-14
2232,,,Point,106.931479,47.978034,Эмийн сан,Эн Би Эм Энд Эйч,SBD-15
