Indicators,Region,Annual,value
 Village health center, Umnugovi,2023,0.0
 Village health center, Umnugovi,2022,0.0
 Village health center, Umnugovi,2021,0.0
 Village health center, Umnugovi,2020,0.0
 Village health center, Umnugovi,2019,0.0
 Village health center, Umnugovi,2018,0.0
 Village health center, Umnugovi,2017,0.0
 Village health center, Umnugovi,2016,0.0
 Village health center, Umnugovi,2015,0.0
 Village health center, Selenge,2024,6.0
 Village health center, Selenge,2023,6.0
 Village health center, Selenge,2022,6.0
 Village health center, Selenge,2021,0.0
 Village health center, Selenge,2020,0.0
 Village health center, Selenge,2019,0.0
 Village health center, Selenge,2018,6.0
 Village health center, Selenge,2017,6.0
 Village health center, Selenge,2016,6.0
 Village health center, Selenge,2015,6.0
 Village health center, Tuv,2024,0.0
 Village health center, Tuv,2023,0.0
 Village health center, Tuv,2022,0.0
 Village health center, Tuv,2021,0.0
 Village health center, Tuv,2020,0.0
 Village health center, Tuv,2019,0.0
 Village health center, Tuv,2018,0.0
 Village health center, Tuv,2017,0.0
 Village health center, Tuv,2016,0.0
 Village health center, Tuv,2015,0.0
 Village health center, Eastern region,2024,4.0
 Village health center, Eastern region,2023,4.0
 Village health center, Eastern region,2022,4.0
 Village health center, Eastern region,2021,0.0
 Village health center, Eastern region,2020,0.0
 Village health center, Eastern region,2019,0.0
 Village health center, Eastern region,2018,2.0
 Village health center, Eastern region,2017,2.0
 Village health center, Eastern region,2016,2.0
 Village health center, Eastern region,2015,2.0
 Village health center, Dornod,2024,0.0
 Village health center, Dornod,2023,0.0
 Village health center, Dornod,2022,0.0
 Village health center, Dornod,2021,0.0
 Village health center, Dornod,2020,0.0
 Village health center, Dornod,2019,0.0
 Village health center, Dornod,2018,0.0
 Village health center, Dornod,2017,0.0
 Village health center, Dornod,2016,0.0
 Village health center, Dornod,2015,0.0
 Village health center, Sukhbaatar,2024,0.0
 Village health center, Sukhbaatar,2023,0.0
 Village health center, Sukhbaatar,2022,0.0
 Village health center, Sukhbaatar,2021,0.0
 Village health center, Sukhbaatar,2020,0.0
 Village health center, Sukhbaatar,2019,0.0
 Village health center, Sukhbaatar,2018,0.0
 Village health center, Sukhbaatar,2017,0.0
 Village health center, Sukhbaatar,2016,0.0
 Village health center, Sukhbaatar,2015,0.0
 Village health center, Khentii,2024,4.0
 Village health center, Khentii,2023,4.0
 Village health center, Khentii,2022,4.0
 Village health center, Khentii,2021,0.0
 Village health center, Khentii,2020,0.0
 Village health center, Khentii,2019,0.0
 Village health center, Khentii,2018,2.0
 Village health center, Khentii,2017,2.0
 Village health center, Khentii,2016,2.0
 Village health center, Khentii,2015,2.0
 Village health center, Ulaanbaatar,2024,4.0
 Village health center, Ulaanbaatar,2023,4.0
 Village health center, Ulaanbaatar,2022,4.0
 Village health center, Ulaanbaatar,2021,5.0
 Village health center, Ulaanbaatar,2020,5.0
 Village health center, Ulaanbaatar,2019,5.0
 Village health center, Ulaanbaatar,2018,5.0
 Village health center, Ulaanbaatar,2017,5.0
 Village health center, Ulaanbaatar,2016,5.0
 Village health center, Ulaanbaatar,2015,5.0
 Village health center,   Ulaanbaatar,2024,
 Village health center,   Ulaanbaatar,2023,
 Village health center,   Ulaanbaatar,2022,
 Village health center,   Ulaanbaatar,2021,
 Village health center,   Ulaanbaatar,2020,
 Village health center,   Ulaanbaatar,2019,
 Village health center,   Ulaanbaatar,2018,
 Village health center,   Ulaanbaatar,2017,
 Village health center,   Ulaanbaatar,2016,
 Village health center,   Ulaanbaatar,2015,
 Soum health center,Total,2024,307.0
 Soum health center,Total,2023,307.0
 Soum health center,Total,2022,308.0
 Soum health center,Total,2021,321.0
 Soum health center,Total,2020,322.0
 Soum health center,Total,2019,321.0
 Soum health center,Total,2018,273.0
 Soum health center,Total,2017,273.0
 Soum health center,Total,2016,273.0
 Soum health center,Total,2015,272.0
 Soum health center, Western region,2024,85.0
 Soum health center, Western region,2023,85.0
 Soum health center, Western region,2022,86.0
 Soum health center, Western region,2021,88.0
 Soum health center, Western region,2020,88.0
 Soum health center, Western region,2019,88.0
 Soum health center, Western region,2018,71.0
 Soum health center, Western region,2017,71.0
 Soum health center, Western region,2016,71.0
 Soum health center, Western region,2015,71.0
 Soum health center, Bayan-Ulgii,2024,13.0
 Soum health center, Bayan-Ulgii,2023,13.0
 Soum health center, Bayan-Ulgii,2022,14.0
 Soum health center, Bayan-Ulgii,2021,14.0
 Soum health center, Bayan-Ulgii,2020,14.0
 Soum health center, Bayan-Ulgii,2019,14.0
 Soum health center, Bayan-Ulgii,2018,9.0
 Soum health center, Bayan-Ulgii,2017,9.0
 Soum health center, Bayan-Ulgii,2016,9.0
 Soum health center, Bayan-Ulgii,2015,9.0
 Soum health center, Govi-Altai,2024,17.0
 Soum health center, Govi-Altai,2023,17.0
 Soum health center, Govi-Altai,2022,17.0
 Soum health center, Govi-Altai,2021,19.0
 Soum health center, Govi-Altai,2020,19.0
 Soum health center, Govi-Altai,2019,19.0
 Soum health center, Govi-Altai,2018,14.0
 Soum health center, Govi-Altai,2017,14.0
 Soum health center, Govi-Altai,2016,14.0
 Soum health center, Govi-Altai,2015,14.0
 Soum health center, Zavkhan,2024,22.0
 Soum health center, Zavkhan,2023,22.0
 Soum health center, Zavkhan,2022,22.0
 Soum health center, Zavkhan,2021,22.0
 Soum health center, Zavkhan,2020,22.0
 Soum health center, Zavkhan,2019,22.0
 Soum health center, Zavkhan,2018,19.0
 Soum health center, Zavkhan,2017,19.0
 Soum health center, Zavkhan,2016,19.0
 Soum health center, Zavkhan,2015,19.0
 Soum health center, Uvs,2024,18.0
 Soum health center, Uvs,2023,18.0
 Soum health center, Uvs,2022,18.0
 Soum health center, Uvs,2021,18.0
 Soum health center, Uvs,2020,18.0
 Soum health center, Uvs,2019,18.0
 Soum health center, Uvs,2018,15.0
 Soum health center, Uvs,2017,15.0
 Soum health center, Uvs,2016,15.0
 Soum health center, Uvs,2015,15.0
 Soum health center, Khovd,2024,15.0
 Soum health center, Khovd,2023,15.0
 Soum health center, Khovd,2022,15.0
 Soum health center, Khovd,2021,15.0
 Soum health center, Khovd,2020,15.0
 Soum health center, Khovd,2019,15.0
 Soum health center, Khovd,2018,14.0
 Soum health center, Khovd,2017,14.0
 Soum health center, Khovd,2016,14.0
 Soum health center, Khovd,2015,14.0
 Soum health center, Khangai region,2024,92.0
 Soum health center, Khangai region,2023,92.0
 Soum health center, Khangai region,2022,92.0
 Soum health center, Khangai region,2021,93.0
 Soum health center, Khangai region,2020,94.0
 Soum health center, Khangai region,2019,93.0
 Soum health center, Khangai region,2018,83.0
 Soum health center, Khangai region,2017,83.0
 Soum health center, Khangai region,2016,83.0
 Soum health center, Khangai region,2015,82.0
 Soum health center, Arkhangai,2024,18.0
 Soum health center, Arkhangai,2023,18.0
 Soum health center, Arkhangai,2022,18.0
 Soum health center, Arkhangai,2021,18.0
 Soum health center, Arkhangai,2020,18.0
 Soum health center, Arkhangai,2019,18.0
 Soum health center, Arkhangai,2018,17.0
 Soum health center, Arkhangai,2017,17.0
 Soum health center, Arkhangai,2016,17.0
 Soum health center, Arkhangai,2015,16.0
 Soum health center, Bayankhongor,2024,19.0
 Soum health center, Bayankhongor,2023,19.0
 Soum health center, Bayankhongor,2022,19.0
 Soum health center, Bayankhongor,2021,19.0
 Soum health center, Bayankhongor,2020,19.0
 Soum health center, Bayankhongor,2019,19.0
 Soum health center, Bayankhongor,2018,16.0
 Soum health center, Bayankhongor,2017,16.0
 Soum health center, Bayankhongor,2016,16.0
 Soum health center, Bayankhongor,2015,16.0
 Soum health center, Bulgan,2024,15.0
 Soum health center, Bulgan,2023,15.0
 Soum health center, Bulgan,2022,15.0
 Soum health center, Bulgan,2021,15.0
 Soum health center, Bulgan,2020,16.0
 Soum health center, Bulgan,2019,16.0
 Soum health center, Bulgan,2018,13.0
 Soum health center, Bulgan,2017,13.0
 Soum health center, Bulgan,2016,13.0
 Soum health center, Bulgan,2015,13.0
 Soum health center, Orkhon,2024,1.0
 Soum health center, Orkhon,2023,1.0
 Soum health center, Orkhon,2022,1.0
 Soum health center, Orkhon,2021,1.0
 Soum health center, Orkhon,2020,1.0
 Soum health center, Orkhon,2019,1.0
 Soum health center, Orkhon,2018,1.0
 Soum health center, Orkhon,2017,1.0
 Soum health center, Orkhon,2016,1.0
 Soum health center, Orkhon,2015,1.0
 Soum health center, Uvurkhangai,2024,17.0
 Soum health center, Uvurkhangai,2023,17.0
 Soum health center, Uvurkhangai,2022,17.0
 Soum health center, Uvurkhangai,2021,17.0
 Soum health center, Uvurkhangai,2020,17.0
 Soum health center, Uvurkhangai,2019,17.0
 Soum health center, Uvurkhangai,2018,16.0
 Soum health center, Uvurkhangai,2017,16.0
 Soum health center, Uvurkhangai,2016,16.0
 Soum health center, Uvurkhangai,2015,16.0
 Soum health center, Khuvsgul,2024,22.0
 Soum health center, Khuvsgul,2023,22.0
 Soum health center, Khuvsgul,2022,22.0
 Soum health center, Khuvsgul,2021,23.0
 Soum health center, Khuvsgul,2020,23.0
 Soum health center, Khuvsgul,2019,22.0
 Soum health center, Khuvsgul,2018,20.0
 Soum health center, Khuvsgul,2017,20.0
 Soum health center, Khuvsgul,2016,20.0
 Soum health center, Khuvsgul,2015,20.0
 Soum health center, Central region,2024,88.0
 Soum health center, Central region,2023,88.0
 Soum health center, Central region,2022,88.0
 Soum health center, Central region,2021,94.0
 Soum health center, Central region,2020,94.0
 Soum health center, Central region,2019,94.0
 Soum health center, Central region,2018,81.0
 Soum health center, Central region,2017,81.0
 Soum health center, Central region,2016,81.0
 Soum health center, Central region,2015,81.0
 Soum health center, Govisumber,2024,2.0
 Soum health center, Govisumber,2023,2.0
 Soum health center, Govisumber,2022,2.0
 Soum health center, Govisumber,2021,2.0
 Soum health center, Govisumber,2020,2.0
 Soum health center, Govisumber,2019,2.0
 Soum health center, Govisumber,2018,2.0
 Soum health center, Govisumber,2017,2.0
 Soum health center, Govisumber,2016,2.0
 Soum health center, Govisumber,2015,2.0
 Soum health center, Darkhan-Uul,2024,3.0
 Soum health center, Darkhan-Uul,2023,3.0
 Soum health center, Darkhan-Uul,2022,3.0
 Soum health center, Darkhan-Uul,2021,3.0
 Soum health center, Darkhan-Uul,2020,3.0
 Soum health center, Darkhan-Uul,2019,3.0
 Soum health center, Darkhan-Uul,2018,3.0
 Soum health center, Darkhan-Uul,2017,3.0
 Soum health center, Darkhan-Uul,2016,3.0
 Soum health center, Darkhan-Uul,2015,3.0
 Soum health center, Dornogovi,2024,13.0
 Soum health center, Dornogovi,2023,13.0
 Soum health center, Dornogovi,2022,13.0
 Soum health center, Dornogovi,2021,13.0
 Soum health center, Dornogovi,2020,13.0
 Soum health center, Dornogovi,2019,13.0
 Soum health center, Dornogovi,2018,12.0
 Soum health center, Dornogovi,2017,12.0
 Soum health center, Dornogovi,2016,12.0
 Soum health center, Dornogovi,2015,12.0
 Soum health center, Dundgovi,2024,15.0
 Soum health center, Dundgovi,2023,15.0
 Soum health center, Dundgovi,2022,15.0
 Soum health center, Dundgovi,2021,15.0
 Soum health center, Dundgovi,2020,15.0
 Soum health center, Dundgovi,2019,15.0
 Soum health center, Dundgovi,2018,13.0
 Soum health center, Dundgovi,2017,13.0
 Soum health center, Dundgovi,2016,13.0
 Soum health center, Dundgovi,2015,13.0
 Soum health center, Umnugovi,2024,14.0
 Soum health center, Umnugovi,2023,14.0
 Soum health center, Umnugovi,2022,14.0
 Soum health center, Umnugovi,2021,14.0
 Soum health center, Umnugovi,2020,14.0
 Soum health center, Umnugovi,2019,14.0
 Soum health center, Umnugovi,2018,11.0
 Soum health center, Umnugovi,2017,11.0
 Soum health center, Umnugovi,2016,11.0
 Soum health center, Umnugovi,2015,11.0
 Soum health center, Selenge,2024,15.0
 Soum health center, Selenge,2023,15.0
 Soum health center, Selenge,2022,15.0
 Soum health center, Selenge,2021,21.0
 Soum health center, Selenge,2020,21.0
 Soum health center, Selenge,2019,21.0
 Soum health center, Selenge,2018,14.0
 Soum health center, Selenge,2017,14.0
 Soum health center, Selenge,2016,14.0
 Soum health center, Selenge,2015,14.0
 Soum health center, Tuv,2024,26.0
 Soum health center, Tuv,2023,26.0
 Soum health center, Tuv,2022,26.0
 Soum health center, Tuv,2021,26.0
 Soum health center, Tuv,2020,26.0
 Soum health center, Tuv,2019,26.0
 Soum health center, Tuv,2018,26.0
 Soum health center, Tuv,2017,26.0
 Soum health center, Tuv,2016,26.0
 Soum health center, Tuv,2015,26.0
 Soum health center, Eastern region,2024,42.0
 Soum health center, Eastern region,2023,42.0
 Soum health center, Eastern region,2022,42.0
 Soum health center, Eastern region,2021,46.0
 Soum health center, Eastern region,2020,46.0
 Soum health center, Eastern region,2019,46.0
 Soum health center, Eastern region,2018,38.0
 Soum health center, Eastern region,2017,38.0
 Soum health center, Eastern region,2016,38.0
 Soum health center, Eastern region,2015,38.0
 Soum health center, Dornod,2024,13.0
 Soum health center, Dornod,2023,13.0
 Soum health center, Dornod,2022,13.0
 Soum health center, Dornod,2021,13.0
 Soum health center, Dornod,2020,13.0
 Soum health center, Dornod,2019,13.0
 Soum health center, Dornod,2018,10.0
 Soum health center, Dornod,2017,10.0
 Soum health center, Dornod,2016,10.0
 Soum health center, Dornod,2015,10.0
 Soum health center, Sukhbaatar,2024,12.0
 Soum health center, Sukhbaatar,2023,12.0
 Soum health center, Sukhbaatar,2022,12.0
 Soum health center, Sukhbaatar,2021,12.0
 Soum health center, Sukhbaatar,2020,12.0
 Soum health center, Sukhbaatar,2019,12.0
 Soum health center, Sukhbaatar,2018,11.0
 Soum health center, Sukhbaatar,2017,11.0
 Soum health center, Sukhbaatar,2016,11.0
 Soum health center, Sukhbaatar,2015,11.0
 Soum health center, Khentii,2024,17.0
 Soum health center, Khentii,2023,17.0
 Soum health center, Khentii,2022,17.0
 Soum health center, Khentii,2021,21.0
 Soum health center, Khentii,2020,21.0
 Soum health center, Khentii,2019,21.0
 Soum health center, Khentii,2018,17.0
 Soum health center, Khentii,2017,17.0
 Soum health center, Khentii,2016,17.0
 Soum health center, Khentii,2015,17.0
 Soum health center, Ulaanbaatar,2024,0.0
 Soum health center, Ulaanbaatar,2023,0.0
 Soum health center, Ulaanbaatar,2022,0.0
 Soum health center, Ulaanbaatar,2021,0.0
 Soum health center, Ulaanbaatar,2020,0.0
 Soum health center, Ulaanbaatar,2019,0.0
 Soum health center, Ulaanbaatar,2018,0.0
 Soum health center, Ulaanbaatar,2017,0.0
 Soum health center, Ulaanbaatar,2016,0.0
 Soum health center, Ulaanbaatar,2015,0.0
 Soum health center,   Ulaanbaatar,2024,
 Soum health center,   Ulaanbaatar,2023,
 Soum health center,   Ulaanbaatar,2022,
 Soum health center,   Ulaanbaatar,2021,
 Soum health center,   Ulaanbaatar,2020,
 Soum health center,   Ulaanbaatar,2019,
 Soum health center,   Ulaanbaatar,2018,
 Soum health center,   Ulaanbaatar,2017,
 Soum health center,   Ulaanbaatar,2016,
 Soum health center,   Ulaanbaatar,2015,
 Intersoum hospital,Total,2024,0.0
 Intersoum hospital,Total,2023,0.0
 Intersoum hospital,Total,2022,0.0
 Intersoum hospital,Total,2021,0.0
 Intersoum hospital,Total,2020,0.0
 Intersoum hospital,Total,2019,0.0
 Intersoum hospital,Total,2018,39.0
 Intersoum hospital,Total,2017,39.0
 Intersoum hospital,Total,2016,39.0
 Intersoum hospital,Total,2015,39.0
 Intersoum hospital, Western region,2024,0.0
 Intersoum hospital, Western region,2023,0.0
 Intersoum hospital, Western region,2022,0.0
 Intersoum hospital, Western region,2021,0.0
 Intersoum hospital, Western region,2020,0.0
 Intersoum hospital, Western region,2019,0.0
 Intersoum hospital, Western region,2018,13.0
 Intersoum hospital, Western region,2017,13.0
 Intersoum hospital, Western region,2016,13.0
 Intersoum hospital, Western region,2015,13.0
 Intersoum hospital, Bayan-Ulgii,2024,0.0
 Intersoum hospital, Bayan-Ulgii,2023,0.0
 Intersoum hospital, Bayan-Ulgii,2022,0.0
 Intersoum hospital, Bayan-Ulgii,2021,0.0
 Intersoum hospital, Bayan-Ulgii,2020,0.0
 Intersoum hospital, Bayan-Ulgii,2019,0.0
 Intersoum hospital, Bayan-Ulgii,2018,3.0
 Intersoum hospital, Bayan-Ulgii,2017,3.0
 Intersoum hospital, Bayan-Ulgii,2016,3.0
 Intersoum hospital, Bayan-Ulgii,2015,3.0
 Intersoum hospital, Govi-Altai,2024,0.0
 Intersoum hospital, Govi-Altai,2023,0.0
 Intersoum hospital, Govi-Altai,2022,0.0
 Intersoum hospital, Govi-Altai,2021,0.0
 Intersoum hospital, Govi-Altai,2020,0.0
 Intersoum hospital, Govi-Altai,2019,0.0
 Intersoum hospital, Govi-Altai,2018,3.0
 Intersoum hospital, Govi-Altai,2017,3.0
 Intersoum hospital, Govi-Altai,2016,3.0
 Intersoum hospital, Govi-Altai,2015,3.0
 Intersoum hospital, Zavkhan,2024,0.0
 Intersoum hospital, Zavkhan,2023,0.0
 Intersoum hospital, Zavkhan,2022,0.0
 Intersoum hospital, Zavkhan,2021,0.0
 Intersoum hospital, Zavkhan,2020,0.0
 Intersoum hospital, Zavkhan,2019,0.0
 Intersoum hospital, Zavkhan,2018,3.0
 Intersoum hospital, Zavkhan,2017,3.0
 Intersoum hospital, Zavkhan,2016,3.0
 Intersoum hospital, Zavkhan,2015,3.0
 Intersoum hospital, Uvs,2024,0.0
 Intersoum hospital, Uvs,2023,0.0
 Intersoum hospital, Uvs,2022,0.0
